From,To,Relationship
C13,D108,Gồm
C13,D109,Gồm
C13,D110,Gồm
C13,D111,Gồm
C13,D112,Gồm
C13,D113,Gồm
C13,D114,Gồm
C13,D115,Gồm
C13,D116,Gồm
C13,D117,Gồm
C13,D118,Gồm
C13,D119,Gồm
C13,D120,Gồm
C13,D121,Gồm
C13,D122,Gồm
D108,D108_K1,Gồm
D108_K1,D108_K1_HV,Quy định
D108_K1,D108_K1_HP,Áp dụng
D108,D108_K2,Gồm
D108_K2,D108_K2_HV,Quy định
D108_K2,D108_K2_HP,Áp dụng
D108,D108_K3,Gồm
D108_K3,D108_K3_HV,Quy định
D108_K3,D108_K3_HP,Áp dụng
D109,D109_K1,Gồm
D109_K1,D109_K1_HV,Quy định
D109_K1,D109_K1_HP,Áp dụng
D109,D109_K2,Gồm
D109_K2,D109_K2_HV,Quy định
D109_K2,D109_K2_HP,Áp dụng
D109,D109_K3,Gồm
D109_K3,D109_K3_HV,Quy định
D109_K3,D109_K3_HP,Áp dụng
D110,D110_K1,Gồm
D110_K1,D110_K1_HV,Quy định
D110_K1,D110_K1_OR,Cần điều kiện
D110_K1_OR,D110_K1_Da,Gồm
D110_K1_OR,D110_K1_Db,Gồm
D110_K1_OR,D110_K1_Dc,Gồm
D110_K1_OR,D110_K1_HP,Áp dụng
D110,D110_K2,Gồm
D110_K2,D110_K2_HV,Quy định
D110_K2,D110_K2_HP,Áp dụng
D110,D110_K3,Gồm
D110_K3,D110_K3_HV,Quy định
D110_K3,D110_K3_HP,Áp dụng
D110,D110_K4,Gồm
D110_K4,D110_K4_HV,Quy định
D110_K4,D110_K4_AND,Cần điều kiện
D110_K4_AND,D110_K4_D1,Gồm
D110_K4_AND,D110_K4_D2,Gồm
D110_K4_AND,D110_K4_HP,Áp dụng
D111,D111_K1,Gồm
D111_K1,D111_K1_HV,Quy định
D111_K1,D111_K1_HP,Áp dụng
D111,D111_K2,Gồm
D111_K2,D111_K2_HV,Quy định
D111_K2,D111_K2_HP,Áp dụng
D111,D111_K3,Gồm
D111_K3,D111_K3_HV,Quy định
D111_K3,D111_K3_HP,Áp dụng
D112,D112_K1,Gồm
D112_K1,D112_K1_HV,Quy định
D112_K1,D112_K1_HP,Áp dụng
D112,D112_K2,Gồm
D112_K2,D112_K2_HV,Quy định
D112_K2,D112_K2_HP,Áp dụng
D112,D112_K3,Gồm
D112_K3,D112_K3_HV,Quy định
D112_K3,D112_K3_HP,Áp dụng
D113,D113_K1,Gồm
D113_K1,D113_K1_HV,Quy định
D113_K1,D113_K1_HP,Áp dụng
D113,D113_K2,Gồm
D113_K2,D113_K2_HV,Quy định
D113_K2,D113_K2_OR,Cần điều kiện
D113_K2_OR,D113_K2_Da,Gồm
D113_K2_OR,D113_K2_Db,Gồm
D113_K2_OR,D113_K2_Dc,Gồm
D113_K2_OR,D113_K2_Dd,Gồm
D113_K2_OR,D113_K2_HP,Áp dụng
D113,D113_K3,Gồm
D113_K3,D113_K3_HV,Quy định
D113_K3,D113_K3_HP,Áp dụng
D113,D113_K4,Gồm
D113_K4,D113_K4_HV,Quy định
D113_K4,D113_K4_HP,Áp dụng
D113,D113_K5,Gồm
D113_K5,D113_K5_HV,Quy định
D113_K5,D113_K5_HP,Áp dụng
D114,D114_K1,Gồm
D114_K1,D114_K1_HV,Quy định
D114_K1,D114_K1_HP,Áp dụng
D114,D114_K2,Gồm
D114_K2,D114_K2_HV,Quy định
D114_K2,D114_K2_HP,Áp dụng
D114,D114_K3,Gồm
D114_K3,D114_K3_HV,Quy định
D114_K3,D114_K3_HP,Áp dụng
D115,D115_K1,Gồm
D115_K1,D115_K1_HV,Quy định
D115_K1,D115_K1_HP,Áp dụng
D115,D115_K2,Gồm
D115_K2,D115_K2_HV,Quy định
D115_K2,D115_K2_HP,Áp dụng
D115,D115_K3,Gồm
D115_K3,D115_K3_HV,Quy định
D115_K3,D115_K3_HP,Áp dụng
D116,D116_K1,Gồm
D116_K1,D116_K1_HV,Quy định
D116_K1,D116_K1_OR,Cần điều kiện
D116_K1_OR,D116_K1_Da,Gồm
D116_K1_OR,D116_K1_Db,Gồm
D116_K1_OR,D116_K1_Dc,Gồm
D116_K1_OR,D116_K1_Dd,Gồm
D116_K1_OR,D116_K1_HP,Áp dụng
D116,D116_K2,Gồm
D116_K2,D116_K2_HV,Quy định
D116_K2,D116_K2_HP,Áp dụng
D116,D116_K3,Gồm
D116_K3,D116_K3_HV,Quy định
D116_K3,D116_K3_HP,Áp dụng
D117,D117_K1,Gồm
D117_K1,D117_K1_HV,Quy định
D117_K1,D117_K1_OR,Cần điều kiện
D117_K1_OR,D117_K1_Da,Gồm
D117_K1_OR,D117_K1_Db,Gồm
D117_K1_OR,D117_K1_Dc,Gồm
D117_K1_OR,D117_K1_HP,Áp dụng
D117,D117_K2,Gồm
D117_K2,D117_K2_HV,Quy định
D117_K2,D117_K2_HP,Áp dụng
D117,D117_K3,Gồm
D117_K3,D117_K3_HV,Quy định
D117_K3,D117_K3_HP,Áp dụng
D118,D118_K1,Gồm
D118_K1,D118_K1_HV,Quy định
D118_K1,D118_K1_HP,Áp dụng
D118,D118_K2,Gồm
D118_K2,D118_K2_HV,Quy định
D118_K2,D118_K2_HP,Áp dụng
D118,D118_K3,Gồm
D118_K3,D118_K3_HV,Quy định
D118_K3,D118_K3_HP,Áp dụng
D119,D119_K1,Gồm
D119_K1,D119_K1_HV,Quy định
D119_K1,D119_K1_HP,Áp dụng
D119,D119_K2,Gồm
D119_K2,D119_K2_HV,Quy định
D119_K2,D119_K2_HP,Áp dụng
D119,D119_K3,Gồm
D119_K3,D119_K3_HV,Quy định
D119_K3,D119_K3_HP,Áp dụng
D120,D120_K1,Gồm
D120_K1,D120_K1_HV,Quy định
D120_K1,D120_K1_HP,Áp dụng
D120,D120_K2,Gồm
D120_K2,D120_K2_HV,Quy định
D120_K2,D120_K2_HP,Áp dụng
D120,D120_K3,Gồm
D120_K3,D120_K3_HV,Quy định
D120_K3,D120_K3_HP,Áp dụng
D121,D121_K1,Gồm
D121_K1,D121_K1_HV,Quy định
D121_K1,D121_K1_HP,Áp dụng
D121,D121_K2,Gồm
D121_K2,D121_K2_HV,Quy định
D121_K2,D121_K2_HP,Áp dụng
D121,D121_K3,Gồm
D121_K3,D121_K3_HV,Quy định
D121_K3,D121_K3_HP,Áp dụng
D122,D122_K1,Gồm
D122_K1,D122_K1_HV,Quy định
D122_K1,D122_K1_HP,Áp dụng
