From,To,Relationship
C14,D123,Gồm
C14,D124,Gồm
C14,D125,Gồm
C14,D126,Gồm
C14,D127,Gồm
C14,D128,Gồm
C14,D129,Gồm
C14,D130,Gồm
C14,D131,Gồm
C14,D132,Gồm
C14,D133,Gồm
C14,D134,Gồm
C14,D135,Gồm
C14,D136,Gồm
C14,D137,Gồm
C14,D138,Gồm
C14,D139,Gồm
C14,D140,Gồm
C14,D141,Gồm
C14,D142,Gồm
C14,D143,Gồm
C14,D144,Gồm
C14,D145,Gồm
C14,D146,Gồm
C14,D147,Gồm
C14,D148,Gồm
C14,D149,Gồm
C14,D150,Gồm
C14,D151,Gồm
C14,D152,Gồm
C14,D153,Gồm
C14,D154,Gồm
C14,D155,Gồm
C14,D156,Gồm
D123,D123_K1,Gồm
D123_K1,D123_K1_HV,Quy định
D123_K1,D123_K1_OR,Cần điều kiện
D123_K1_OR,D123_K1_Da,Gồm
D123_K1_OR,D123_K1_Db,Gồm
D123_K1_OR,D123_K1_Dc,Gồm
D123_K1_OR,D123_K1_Dd,Gồm
D123_K1_OR,D123_K1_Dđ,Gồm
D123_K1_OR,D123_K1_De,Gồm
D123_K1_OR,D123_K1_Dg,Gồm
D123_K1_OR,D123_K1_Dh,Gồm
D123_K1_OR,D123_K1_Di,Gồm
D123_K1_OR,D123_K1_Dk,Gồm
D123_K1_OR,D123_K1_Dl,Gồm
D123_K1_OR,D123_K1_Dm,Gồm
D123_K1_OR,D123_K1_Dn,Gồm
D123_K1_OR,D123_K1_Do,Gồm
D123_K1_OR,D123_K1_Dp,Gồm
D123_K1_OR,D123_K1_Dq,Gồm
D123_K1_OR,D123_K1_HP,Áp dụng
D123,D123_K2,Gồm
D123_K2,D123_K2_HV,Quy định
D123_K2,D123_K2_HP,Áp dụng
D123,D123_K3,Gồm
D123_K3,D123_K3_HV,Quy định
D123_K3,D123_K3_HP,Áp dụng
D123,D123_K4,Gồm
D123_K4,D123_K4_HV,Quy định
D123_K4,D123_K4_HP,Áp dụng
D124,D124_K1,Gồm
D124_K1,D124_K1_HV,Quy định
D124_K1,D124_K1_HP,Áp dụng
D124,D124_K2,Gồm
D124_K2,D124_K2_HV,Quy định
D124_K2,D124_K2_HP,Áp dụng
D125,D125_K1,Gồm
D125_K1,D125_K1_HV,Quy định
D125_K1,D125_K1_HP,Áp dụng
D125,D125_K2,Gồm
D125_K2,D125_K2_HV,Quy định
D125_K2,D125_K2_HP,Áp dụng
D126,D126_K1,Gồm
D126_K1,D126_K1_HV,Quy định
D126_K1,D126_K1_HP,Áp dụng
D126,D126_K2,Gồm
D126_K2,D126_K2_HV,Quy định
D126_K2,D126_K2_HP,Áp dụng
D127,D127_K1,Gồm
D127_K1,D127_K1_HV,Quy định
D127_K1,D127_K1_HP,Áp dụng
D127,D127_K2,Gồm
D127_K2,D127_K2_HV,Quy định
D127_K2,D127_K2_OR,Cần điều kiện
D127_K2_OR,D127_K2_Da,Gồm
D127_K2_OR,D127_K2_Db,Gồm
D127_K2_OR,D127_K2_HP,Áp dụng
D127,D127_K3,Gồm
D127_K3,D127_K3_HV,Quy định
D127_K3,D127_K3_HP,Áp dụng
D128,D128_K1,Gồm
D128_K1,D128_K1_HV,Quy định
D128_K1,D128_K1_HP,Áp dụng
D128,D128_K2,Gồm
D128_K2,D128_K2_HV,Quy định
D128_K2,D128_K2_HP,Áp dụng
D129,D129_K1,Gồm
D129_K1,D129_K1_HV,Quy định
D129_K1,D129_K1_HP,Áp dụng
D129,D129_K2,Gồm
D129_K2,D129_K2_HV,Quy định
D129_K2,D129_K2_HP,Áp dụng
D129,D129_K3,Gồm
D129_K3,D129_K3_HV,Quy định
D129_K3,D129_K3_HP,Áp dụng
D130,D130_K1,Gồm
D130_K1,D130_K1_HV,Quy định
D130_K1,D130_K1_HP,Áp dụng
D130,D130_K2,Gồm
D130_K2,D130_K2_HV,Quy định
D130_K2,D130_K2_OR,Cần điều kiện
D130_K2_OR,D130_K2_Da,Gồm
D130_K2_OR,D130_K2_Db,Gồm
D130_K2_OR,D130_K2_HP,Áp dụng
D131,D131_K1,Gồm
D131_K1,D131_K1_HV,Quy định
D131_K1,D131_K1_OR,Cần điều kiện
D131_K1_OR,D131_K1_Da,Gồm
D131_K1_OR,D131_K1_Db,Gồm
D131_K1_OR,D131_K1_HP,Áp dụng
D131,D131_K2,Gồm
D131_K2,D131_K2_HV,Quy định
D131_K2,D131_K2_HP,Áp dụng
D132,D132_K1,Gồm
D132_K1,D132_K1_HV,Quy định
D132_K1,D132_K1_HP,Áp dụng
D132,D132_K2,Gồm
D132_K2,D132_K2_HV,Quy định
D132_K2,D132_K2_OR,Cần điều kiện
D132_K2_OR,D132_K2_Da,Gồm
D132_K2_OR,D132_K2_Db,Gồm
