From,To,Relationship
C19,D245,Gồm
C19,D246,Gồm
D245,D245_K1,Gồm
D245_K1,D245_K1_HV,Quy định
D245_K1,D245_K1_OR,Cần điều kiện
D245_K1_OR,D245_K1_Da,Gồm
D245_K1_OR,D245_K1_Db,Gồm
D245_K1_OR,D245_K1_Dc,Gồm
D245_K1_OR,D245_K1_HP,Áp dụng
D245,D245_K2,Gồm
D245_K2,D245_K2_HV,Quy định
D245_K2,D245_K2_OR,Cần điều kiện
D245_K2_OR,D245_K2_Da,Gồm
D245_K2_OR,D245_K2_Db,Gồm
D245_K2_OR,D245_K2_Dc,Gồm
D245_K2_OR,D245_K2_Dd,Gồm
D245_K2_OR,D245_K2_Dđ,Gồm
D245_K2_OR,D245_K2_HP,Áp dụng
D245,D245_K3,Gồm
D245_K3,D245_K3_HV,Quy định
D245_K3,D245_K3_HP,Áp dụng
D245,D245_K4,Gồm
D245_K4,D245_K4_HV,Quy định
D245_K4,D245_K4_OR_a,Cần điều kiện
D245_K4_OR_a,D245_K4_Da,Gồm
D245_K4_OR_a,D245_K4_HP_a,Áp dụng
D245_K4,D245_K4_OR_b,Cần điều kiện
D245_K4_OR_b,D245_K4_Db,Gồm
D245_K4_OR_b,D245_K4_HP_b,Áp dụng
D245_K4,D245_K4_OR_c,Cần điều kiện
D245_K4_OR_c,D245_K4_Dc,Gồm
D245_K4_OR_c,D245_K4_HP_c,Áp dụng
D245_K4,D245_K4_OR_d,Cần điều kiện
D245_K4_OR_d,D245_K4_Dd,Gồm
D245_K4_OR_d,D245_K4_HP_d,Áp dụng
D246,D246_K1,Gồm
D246_K1,D246_K1_HV,Quy định
D246_K1,D246_K1_OR,Cần điều kiện
D246_K1_OR,D246_K1_Da,Gồm
D246_K1_OR,D246_K1_Db,Gồm
D246_K1_OR,D246_K1_HP,Áp dụng
D246,D246_K2,Gồm
D246_K2,D246_K2_HV,Quy định
D246_K2,D246_K2_OR,Cần điều kiện
D246_K2_OR,D246_K2_Da,Gồm
D246_K2_OR,D246_K2_Db,Gồm
D246_K2_OR,D246_K2_Dc,Gồm
D246_K2_OR,D246_K2_Dd,Gồm
D246_K2_OR,D246_K2_HP,Áp dụng
D246,D246_K3,Gồm
D246_K3,D246_K3_HV,Quy định
D246_K3,D246_K3_HP,Áp dụng
D246,D246_K4,Gồm
D246_K4,D246_K4_HV,Quy định
D246_K4,D246_K4_OR_a,Cần điều kiện
D246_K4_OR_a,D246_K4_Da,Gồm
D246_K4_OR_a,D246_K4_HP_a,Áp dụng
D246_K4,D246_K4_OR_b,Cần điều kiện
D246_K4_OR_b,D246_K4_Db,Gồm
D246_K4_OR_b,D246_K4_HP_b,Áp dụng
D246_K4,D246_K4_OR_c,Cần điều kiện
D246_K4_OR_c,D246_K4_Dc,Gồm
D246_K4_OR_c,D246_K4_HP_c,Áp dụng
