From,To,Relationship
C17,D181,Gồm
C17,D182,Gồm
C17,D183,Gồm
C17,D184,Gồm
C17,D185,Gồm
C17,D186,Gồm
C17,D187,Gồm
D181,D181_K1,Gồm
D181_K1,D181_K1_HV,Quy định
D181_K1,D181_K1_HP,Áp dụng
D182,D182_K1,Gồm
D182_K1,D182_K1_HV,Quy định
D182_K1,D182_K1_OR,Cần điều kiện
D182_K1_OR,D182_K1_Da,Gồm
D182_K1_OR,D182_K1_Db,Gồm
D182_K1_OR,D182_K1_HP,Áp dụng
D182,D182_K2,Gồm
D182_K2,D182_K2_HV,Quy định
D182_K2,D182_K2_OR,Cần điều kiện
D182_K2_OR,D182_K2_Da,Gồm
D182_K2_OR,D182_K2_Db,Gồm
D182_K2_OR,D182_K2_HP,Áp dụng
D183,D183_K1,Gồm
D183_K1,D183_K1_HV,Quy định
D183_K1,D183_K1_HP,Áp dụng
D184,D184_K1,Gồm
D184_K1,D184_K1_HV,Quy định
D184_K1,D184_K1_HP,Áp dụng
D185,D185_K1,Gồm
D185_K1,D185_K1_HV,Quy định
D185_K1,D185_K1_OR,Cần điều kiện
D185_K1_OR,D185_K1_Da,Gồm
D185_K1_OR,D185_K1_Db,Gồm
D185_K1_OR,D185_K1_HP,Áp dụng
D185,D185_K2,Gồm
D185_K2,D185_K2_HV,Quy định
D185_K2,D185_K2_OR,Cần điều kiện
D185_K2_OR,D185_K2_Da,Gồm
D185_K2_OR,D185_K2_Db,Gồm
D185_K2_OR,D185_K2_HP,Áp dụng
D186,D186_K1,Gồm
D186_K1,D186_K1_HV,Quy định
D186_K1,D186_K1_HP,Áp dụng
D187,D187_K1,Gồm
D187_K1,D187_K1_HV,Quy định
D187_K1,D187_K1_HP,Áp dụng
D187,D187_K2,Gồm
D187_K2,D187_K2_HV,Quy định
D187_K2,D187_K2_OR,Cần điều kiện
D187_K2_OR,D187_K2_Da,Gồm
D187_K2_OR,D187_K2_Db,Gồm
D187_K2_OR,D187_K2_Dc,Gồm
D187_K2_OR,D187_K2_Dd,Gồm
D187_K2_OR,D187_K2_HP,Áp dụng
D187,D187_K3,Gồm
D187_K3,D187_K3_HV,Quy định
D187_K3,D187_K3_HP,Áp dụng
