From,To,Relationship
C18,D188,Gồm
C18,D189,Gồm
C18,D190,Gồm
C18,D191,Gồm
C18,D192,Gồm
C18,D193,Gồm
C18,D194,Gồm
C18,D195,Gồm
C18,D196,Gồm
C18,D197,Gồm
C18,D198,Gồm
C18,D199,Gồm
D188,D188_K1,Gồm
D188_K1,D188_K1_HV,Quy định
D188_K1,D188_K1_OR,Cần điều kiện
D188_K1_OR,D188_K1_Da,Gồm
D188_K1_OR,D188_K1_Db,Gồm
D188_K1_OR,D188_K1_HP,Áp dụng
D188,D188_K2,Gồm
D188_K2,D188_K2_HV,Quy định
D188_K2,D188_K2_OR,Cần điều kiện
D188_K2_OR,D188_K2_Da,Gồm
D188_K2_OR,D188_K2_Db,Gồm
D188_K2_OR,D188_K2_Dc,Gồm
D188_K2_OR,D188_K2_Dd,Gồm
D188_K2_OR,D188_K2_Dđ,Gồm
D188_K2_OR,D188_K2_De,Gồm
D188_K2_OR,D188_K2_Dg,Gồm
D188_K2_OR,D188_K2_Dh,Gồm
D188_K2_OR,D188_K2_Di,Gồm
D188_K2_OR,D188_K2_HP,Áp dụng
D188,D188_K3,Gồm
D188_K3,D188_K3_HV,Quy định
D188_K3,D188_K3_OR,Cần điều kiện
D188_K3_OR,D188_K3_Da,Gồm
D188_K3_OR,D188_K3_Db,Gồm
D188_K3_OR,D188_K3_HP,Áp dụng
D188,D188_K4,Gồm
D188_K4,D188_K4_HV,Quy định
D188_K4,D188_K4_OR,Cần điều kiện
D188_K4_OR,D188_K4_Da,Gồm
D188_K4_OR,D188_K4_Db,Gồm
D188_K4_OR,D188_K4_Dc,Gồm
D188_K4_OR,D188_K4_HP,Áp dụng
D188,D188_K5,Gồm
D188_K5,D188_K5_HV,Quy định
D188_K5,D188_K5_HP,Áp dụng
D188,D188_K6,Gồm
D188_K6,D188_K6_HV,Quy định
D188_K6,D188_K6_OR_a,Cần điều kiện
D188_K6_OR_a,D188_K6_Da,Gồm
D188_K6_OR_a,D188_K6_HP_a,Áp dụng
D188_K6,D188_K6_OR_b,Cần điều kiện
D188_K6_OR_b,D188_K6_Db,Gồm
D188_K6_OR_b,D188_K6_HP_b,Áp dụng
D188_K6,D188_K6_OR_c,Cần điều kiện
D188_K6_OR_c,D188_K6_Dc,Gồm
D188_K6_OR_c,D188_K6_HP_c,Áp dụng
D188_K6,D188_K6_OR_d,Cần điều kiện
D188_K6_OR_d,D188_K6_Dd,Gồm
D188_K6_OR_d,D188_K6_HP_d,Áp dụng
D188_K6,D188_K6_OR_đ,Cần điều kiện
D188_K6_OR_đ,D188_K6_Dđ,Gồm
D188_K6_OR_đ,D188_K6_HP_đ,Áp dụng
D188_K6,D188_K6_OR_e,Cần điều kiện
D188_K6_OR_e,D188_K6_De,Gồm
D188_K6_OR_e,D188_K6_HP_e,Áp dụng
D189,D189_K1,Gồm
D189_K1,D189_K1_HV,Quy định
D189_K1,D189_K1_OR,Cần điều kiện
D189_K1_OR,D189_K1_Da,Gồm
D189_K1_OR,D189_K1_Db,Gồm
D189_K1_OR,D189_K1_HP,Áp dụng
D189,D189_K2,Gồm
