From,To,Relationship
C15,D157,Gồm
C15,D158,Gồm
C15,D159,Gồm
C15,D160,Gồm
C15,D161,Gồm
C15,D162,Gồm
C15,D163,Gồm
C15,D164,Gồm
C15,D165,Gồm
C15,D166,Gồm
C15,D167,Gồm
C16,D168,Gồm
C16,D169,Gồm
C16,D170,Gồm
C16,D171,Gồm
C16,D172,Gồm
C16,D173,Gồm
C16,D174,Gồm
C16,D175,Gồm
C16,D176,Gồm
C16,D177,Gồm
C16,D178,Gồm
C16,D179,Gồm
C16,D180,Gồm
D157,D157_K1,Gồm
D157_K1,D157_K1_HV,Quy định
D157_K1,D157_K1_HP,Áp dụng
D157,D157_K2,Gồm
D157_K2,D157_K2_HV,Quy định
D157_K2,D157_K2_OR,Cần điều kiện
D157_K2_OR,D157_K2_Da,Gồm
D157_K2_OR,D157_K2_Db,Gồm
D157_K2_OR,D157_K2_Dc,Gồm
D157_K2_OR,D157_K2_Dd,Gồm
D157_K2_OR,D157_K2_Dđ,Gồm
D157_K2_OR,D157_K2_De,Gồm
D157_K2_OR,D157_K2_Dg,Gồm
D157_K2_OR,D157_K2_Dh,Gồm
D157_K2_OR,D157_K2_HP,Áp dụng
D157,D157_K3,Gồm
D157_K3,D157_K3_HV,Quy định
D157_K3,D157_K3_OR,Cần điều kiện
D157_K3_OR,D157_K3_Da,Gồm
D157_K3_OR,D157_K3_Db,Gồm
D157_K3_OR,D157_K3_Dc,Gồm
D157_K3_OR,D157_K3_HP,Áp dụng
D157,D157_K4,Gồm
D157_K4,D157_K4_HV,Quy định
D157_K4,D157_K4_HP,Áp dụng
D158,D158_K1,Gồm
D158_K1,D158_K1_HV,Quy định
D158_K1,D158_K1_OR,Cần điều kiện
D158_K1_OR,D158_K1_Da,Gồm
D158_K1_OR,D158_K1_Db,Gồm
D158_K1_OR,D158_K1_Dc,Gồm
D158_K1_OR,D158_K1_Dd,Gồm
D158_K1_OR,D158_K1_HP,Áp dụng
D158,D158_K2,Gồm
D158_K2,D158_K2_HV,Quy định
D158_K2,D158_K2_OR,Cần điều kiện
D158_K2_OR,D158_K2_Da,Gồm
D158_K2_OR,D158_K2_Db,Gồm
D158_K2_OR,D158_K2_Dc,Gồm
D158_K2_OR,D158_K2_Dd,Gồm
