From,To,Relationship
CH20,D247,Gồm
CH20,D248,Gồm
D247,K1_D247,Gồm
K1_D247,HV_K1_D247,Quy định
K1_D247,NL_OR_K1_D247,Cần điều kiện
NL_OR_K1_D247,P1a_D247,Gồm
NL_OR_K1_D247,P1b_D247,Gồm
NL_OR_K1_D247,P1c_D247,Gồm
NL_OR_K1_D247,HP_K1_D247,Áp dụng
D247,K2_D247,Gồm
K2_D247,HV_K2_D247,Quy định
K2_D247,NL_OR_K2_D247,Cần điều kiện
NL_OR_K2_D247,P2a_D247,Gồm
NL_OR_K2_D247,P2b_D247,Gồm
NL_OR_K2_D247,P2c_D247,Gồm
NL_OR_K2_D247,HP_K2_D247,Áp dụng
D247,K3_D247,Gồm
K3_D247,HV_K3_D247,Quy định
K3_D247,HP_K3_D247,Áp dụng
D247,K4_D247,Gồm
K4_D247,HV_K4_D247,Quy định
K4_D247,NL_AND_K4_D247,Cần điều kiện
NL_AND_K4_D247,P4a_D247,Gồm
NL_AND_K4_D247,P4b_D247,Gồm
NL_AND_K4_D247,HP_K4_D247,Áp dụng
D248,K1_D248,Gồm
K1_D248,HV_K1_D248,Quy định
K1_D248,HP_K1_D248,Áp dụng
D248,K2_D248,Gồm
K2_D248,HV_K2_D248,Quy định
K2_D248,NL_OR_K2_D248,Cần điều kiện
NL_OR_K2_D248,P2a_D248,Gồm
NL_OR_K2_D248,P2b_D248,Gồm
NL_OR_K2_D248,P2c_D248,Gồm
NL_OR_K2_D248,P2d_D248,Gồm
NL_OR_K2_D248,P2dd_D248,Gồm
NL_OR_K2_D248,P2e_D248,Gồm
NL_OR_K2_D248,P2g_D248,Gồm
NL_OR_K2_D248,P2h_D248,Gồm
NL_OR_K2_D248,P2i_D248,Gồm
NL_OR_K2_D248,P2k_D248,Gồm
NL_OR_K2_D248,HP_K2_D248,Áp dụng
D248,K3_D248,Gồm
K3_D248,HV_K3_D248,Quy định
K3_D248,NL_OR_K3_D248,Cần điều kiện
NL_OR_K3_D248,P3a_D248,Gồm
NL_OR_K3_D248,P3b_D248,Gồm
NL_OR_K3_D248,P3c_D248,Gồm
NL_OR_K3_D248,P3d_D248,Gồm
NL_OR_K3_D248,P3dd_D248,Gồm
NL_OR_K3_D248,P3e_D248,Gồm
NL_OR_K3_D248,HP_K3_D248,Áp dụng
D248,K4_D248,Gồm
K4_D248,HV_K4_D248,Quy định
K4_D248,NL_OR_K4_D248,Cần điều kiện
NL_OR_K4_D248,P4a_D248,Gồm
NL_OR_K4_D248,P4b_D248,Gồm
NL_OR_K4_D248,P4c_D248,Gồm
NL_OR_K4_D248,P4d_D248,Gồm
NL_OR_K4_D248,P4dd_D248,Gồm
NL_OR_K4_D248,HP_K4_D248,Áp dụng
D248,K5_D248,Gồm
K5_D248,HV_K5_D248,Quy định
K5_D248,NL_OR_K5_D248,Cần điều kiện
NL_OR_K5_D248,P5a_D248,Gồm
NL_OR_K5_D248,P5b_D248,Gồm
NL_OR_K5_D248,P5c_D248,Gồm
NL_OR_K5_D248,P5d_D248,Gồm
NL_OR_K5_D248,P5dd_D248,Gồm
NL_OR_K5_D248,HP_K5_D248,Áp dụng
D248,K6_D248,Gồm
K6_D248,HV_K6_D248,Quy định
K6_D248,HP_K6_D248,Áp dụng
CH20,D249,Gồm
CH20,D250,Gồm
D249,K1_D249,Gồm
K1_D249,HV_K1_D249,Quy định
K1_D249,NL_OR_K1_D249,Cần điều kiện
NL_OR_K1_D249,P1a_D249,Gồm
NL_OR_K1_D249,P1b_D249,Gồm
NL_OR_K1_D249,P1c_D249,Gồm
NL_OR_K1_D249,P1d_D249,Gồm
NL_OR_K1_D249,P1dd_D249,Gồm
