From,To,Relationship
C21,D260,Gồm
C21,D261,Gồm
C21,D262,Gồm
D260,K1_260,Gồm
K1_260,HV1_260,Quy định
K1_260,OR1_260,Cần điều kiện
OR1_260,P1A_260,Gồm
OR1_260,P1B_260,Gồm
OR1_260,P1C_260,Gồm
OR1_260,P1D_260,Gồm
OR1_260,HP1_260,Áp dụng
D260,K2_260,Gồm
K2_260,HV2_260,Quy định
K2_260,OR2_260,Cần điều kiện
OR2_260,P2A_260,Gồm
OR2_260,P2B_260,Gồm
OR2_260,P2C_260,Gồm
OR2_260,P2D_260,Gồm
OR2_260,P2DD_260,Gồm
OR2_260,P2E_260,Gồm
OR2_260,P2G_260,Gồm
OR2_260,HP2_260,Áp dụng
D260,K3_260,Gồm
K3_260,HV3_260,Quy định
K3_260,OR3_260,Cần điều kiện
OR3_260,P3A_260,Gồm
OR3_260,P3B_260,Gồm
OR3_260,P3C_260,Gồm
OR3_260,HP3_260,Áp dụng
D260,K4_260,Gồm
K4_260,HV4_260,Quy định
K4_260,OR4_260,Cần điều kiện
OR4_260,P3A_260,Gồm
OR4_260,P3B_260,Gồm
OR4_260,P3C_260,Gồm
OR4_260,HP4_260,Áp dụng
D260,K5_260,Gồm
K5_260,HV5_260,Quy định
K5_260,HP5_260,Áp dụng
D261,K1_261,Gồm
K1_261,HV1_261,Quy định
K1_261,OR1_261,Cần điều kiện
OR1_261,P1A_261,Gồm
OR1_261,P1B_261,Gồm
OR1_261,P1C_261,Gồm
OR1_261,P1D_261,Gồm
OR1_261,HP1_261,Áp dụng
D261,K2_261,Gồm
K2_261,HV2_261,Quy định
K2_261,OR2_261,Cần điều kiện
OR2_261,P2A_261,Gồm
OR2_261,P2B_261,Gồm
OR2_261,P2C_261,Gồm
OR2_261,P2D_261,Gồm
OR2_261,HP2_261,Áp dụng
D261,K3_261,Gồm
K3_261,HV3_261,Quy định
K3_261,OR3_261,Cần điều kiện
OR3_261,P3A_261,Gồm
OR3_261,P3B_261,Gồm
OR3_261,P3C_261,Gồm
OR3_261,HP3_261,Áp dụng
D261,K4_261,Gồm
K4_261,HV4_261,Quy định
K4_261,OR4_261,Cần điều kiện
OR4_261,P3A_261,Gồm
OR4_261,P3B_261,Gồm
OR4_261,P3C_261,Gồm
OR4_261,HP4_261,Áp dụng
D262,K1_262,Gồm
K1_262,HV1_262,Quy định
K1_262,OR1_262,Cần điều kiện
OR1_262,P1A_262,Gồm
OR1_262,P1B_262,Gồm
OR1_262,P1C_262,Gồm
OR1_262,P1D_262,Gồm
OR1_262,HP1_262,Áp dụng
D262,K2_262,Gồm
K2_262,HV2_262,Quy định
K2_262,OR2_262,Cần điều kiện
OR2_262,P2A_262,Gồm
OR2_262,P2B_262,Gồm
OR2_262,P2C_262,Gồm
OR2_262,HP2_262,Áp dụng
D262,K3_262,Gồm
K3_262,HV3_262,Quy định
K3_262,OR3_262,Cần điều kiện
OR3_262,P3A_262,Gồm
OR3_262,P3B_262,Gồm
OR3_262,P3C_262,Gồm
OR3_262,HP3_262,Áp dụng
D262,K4_262,Gồm
K4_262,HV4_262,Quy định
K4_262,HP4_262,Áp dụng
C21,D263,Gồm
C21,D264,Gồm
C21,D265,Gồm
D263,K1_263,Gồm
K1_263,HV1_263,Quy định
K1_263,OR1_263,Cần điều kiện
OR1_263,P1A_263,Gồm
OR1_263,P1B_263,Gồm
OR1_263,P1C_263,Gồm
OR1_263,P1D_263,Gồm
OR1_263,HP1_263,Áp dụng
D263,K2_263,Gồm
K2_263,HV2_263,Quy định
K2_263,OR2_263,Cần điều kiện
OR2_263,P2A_263,Gồm
OR2_263,P2B_263,Gồm
OR2_263,P2C_263,Gồm
OR2_263,HP2_263,Áp dụng
D263,K3_263,Gồm
K3_263,HV3_263,Quy định
K3_263,OR3_263,Cần điều kiện
OR3_263,P3A_263,Gồm
OR3_263,P3B_263,Gồm
OR3_263,P3C_263,Gồm
OR3_263,HP3_263,Áp dụng
D263,K4_263,Gồm
K4_263,HV4_263,Quy định
K4_263,HP4_263,Áp dụng
D264,K1_264,Gồm
K1_264,HV1_264,Quy định
K1_264,OR1_264,Cần điều kiện
OR1_264,P1A_264,Gồm
OR1_264,P1B_264,Gồm
OR1_264,P1C_264,Gồm
OR1_264,P1D_264,Gồm
OR1_264,HP1_264,Áp dụng
D264,K2_264,Gồm
K2_264,HV2_264,Quy định
K2_264,OR2_264,Cần điều kiện
OR2_264,P2A_264,Gồm
OR2_264,P2B_264,Gồm
OR2_264,P2C_264,Gồm
OR2_264,HP2_264,Áp dụng
D264,K3_264,Gồm
K3_264,HV3_264,Quy định
K3_264,OR3_264,Cần điều kiện
OR3_264,P3A_264,Gồm
OR3_264,P3B_264,Gồm
OR3_264,P3C_264,Gồm
OR3_264,HP3_264,Áp dụng
D264,K4_264,Gồm
K4_264,HV4_264,Quy định
K4_264,HP4_264,Áp dụng
D265,K1_265,Gồm
K1_265,HV1_265,Quy định
K1_265,HP1_265,Áp dụng
D265,K2_265,Gồm
K2_265,HV2_265,Quy định
K2_265,OR2_265,Cần điều kiện
OR2_265,P2A_265,Gồm
OR2_265,P2B_265,Gồm
OR2_265,P2C_265,Gồm
OR2_265,P2D_265,Gồm
OR2_265,P2DD_265,Gồm
OR2_265,P2E_265,Gồm
OR2_265,P2G_265,Gồm
OR2_265,P2H_265,Gồm
OR2_265,P2I_265,Gồm
OR2_265,P2K_265,Gồm
OR2_265,HP2_265,Áp dụng
D265,K3_265,Gồm
K3_265,HV3_265,Quy định
K3_265,OR3_265,Cần điều kiện
OR3_265,P3A_265,Gồm
OR3_265,P3B_265,Gồm
OR3_265,P3C_265,Gồm
OR3_265,P3D_265,Gồm
OR3_265,HP3_265,Áp dụng
D265,K4_265,Gồm
K4_265,HV4_265,Quy định
K4_265,OR4_265,Cần điều kiện
OR4_265,P4A_265,Gồm
OR4_265,P4B_265,Gồm
OR4_265,P4C_265,Gồm
OR4_265,HP4_265,Áp dụng
D265,K5_265,Gồm
K5_265,HV5_265,Quy định
K5_265,HP5_265,Áp dụng
C21,D266,Gồm
C21,D267,Gồm
C21,D268,Gồm
D266,K1_266,Gồm
K1_266,HV1_266,Quy định
K1_266,OR1_266,Cần điều kiện
OR1_266,P1A_266,Gồm
OR1_266,P1B_266,Gồm
OR1_266,HP1_266,Áp dụng
D266,K2_266,Gồm
K2_266,HV2_266,Quy định
K2_266,OR2_266,Cần điều kiện
OR2_266,P2A_266,Gồm
OR2_266,P2B_266,Gồm
OR2_266,P2C_266,Gồm
OR2_266,P2D_266,Gồm
OR2_266,P2DD_266,Gồm
OR2_266,P2E_266,Gồm
OR2_266,P2G_266,Gồm
OR2_266,P2H_266,Gồm
OR2_266,P2I_266,Gồm
OR2_266,P2K_266,Gồm
OR2_266,HP2_266,Áp dụng
D266,K3_266,Gồm
K3_266,HV3_266,Quy định
K3_266,OR3_266,Cần điều kiện
OR3_266,P3A_266,Gồm
OR3_266,P3B_266,Gồm
OR3_266,P3C_266,Gồm
OR3_266,HP3_266,Áp dụng
D266,K4_266,Gồm
K4_266,HV4_266,Quy định
K4_266,OR4_266,Cần điều kiện
OR4_266,P4A_266,Gồm
OR4_266,P4B_266,Gồm
OR4_266,P4C_266,Gồm
OR4_266,HP4_266,Áp dụng
D266,K5_266,Gồm
K5_266,HV5_266,Quy định
K5_266,HP5_266,Áp dụng
D267,K1_267,Gồm
K1_267,HV1_267,Quy định
K1_267,OR1_267,Cần điều kiện
OR1_267,P1A_267,Gồm
OR1_267,P1B_267,Gồm
OR1_267,P1C_267,Gồm
OR1_267,P1D_267,Gồm
OR1_267,HP1_267,Áp dụng
D267,K2_267,Gồm
K2_267,HV2_267,Quy định
K2_267,OR2_267,Cần điều kiện
OR2_267,P2A_267,Gồm
OR2_267,P2B_267,Gồm
OR2_267,P2C_267,Gồm
OR2_267,P2D_267,Gồm
OR2_267,P2DD_267,Gồm
OR2_267,P2E_267,Gồm
OR2_267,P2G_267,Gồm
OR2_267,HP2_267,Áp dụng
D267,K3_267,Gồm
K3_267,HV3_267,Quy định
K3_267,OR3_267,Cần điều kiện
OR3_267,P3A_267,Gồm
OR3_267,P3B_267,Gồm
OR3_267,P3C_267,Gồm
OR3_267,HP3_267,Áp dụng
D267,K4_267,Gồm
K4_267,HV4_267,Quy định
K4_267,OR4_267,Cần điều kiện
OR4_267,P3A_267,Gồm
OR4_267,P3B_267,Gồm
OR4_267,P3C_267,Gồm
OR4_267,HP4_267,Áp dụng
D267,K5_267,Gồm
K5_267,HV5_267,Quy định
K5_267,HP5_267,Áp dụng
D268,K1_268,Gồm
K1_268,HV1_268,Quy định
K1_268,OR1_268,Cần điều kiện
OR1_268,P1A_268,Gồm
OR1_268,P1B_268,Gồm
OR1_268,P1C_268,Gồm
OR1_268,P1D_268,Gồm
OR1_268,HP1_268,Áp dụng
D268,K2_268,Gồm
K2_268,HV2_268,Quy định
K2_268,OR2_268,Cần điều kiện
OR2_268,P2A_268,Gồm
OR2_268,P2B_268,Gồm
OR2_268,P2C_268,Gồm
OR2_268,HP2_268,Áp dụng
D268,K3_268,Gồm
K3_268,HV3_268,Quy định
K3_268,OR3_268,Cần điều kiện
OR3_268,P3A_268,Gồm
OR3_268,P3B_268,Gồm
OR3_268,P3C_268,Gồm
OR3_268,HP3_268,Áp dụng
D268,K4_268,Gồm
K4_268,HV4_268,Quy định
K4_268,OR4_268,Cần điều kiện
OR4_268,P3A_268,Gồm
OR4_268,P3B_268,Gồm
OR4_268,P3C_268,Gồm
OR4_268,HP4_268,Áp dụng
C21,D269,Gồm
C21,D270,Gồm
C21,D271,Gồm
D269,K1_269,Gồm
K1_269,HV1_269,Quy định
K1_269,OR1_269,Cần điều kiện
OR1_269,P1A_269,Gồm
OR1_269,P1B_269,Gồm
OR1_269,P1C_269,Gồm
OR1_269,P1D_269,Gồm
OR1_269,HP1_269,Áp dụng
D269,K2_269,Gồm
K2_269,HV2_269,Quy định
K2_269,OR2_269,Cần điều kiện
OR2_269,P2A_269,Gồm
OR2_269,P2B_269,Gồm
OR2_269,P2C_269,Gồm
OR2_269,HP2_269,Áp dụng
D269,K3_269,Gồm
K3_269,HV3_269,Quy định
K3_269,OR3_269,Cần điều kiện
OR3_269,P3A_269,Gồm
OR3_269,P3B_269,Gồm
OR3_269,P3C_269,Gồm
OR3_269,HP3_269,Áp dụng
D269,K4_269,Gồm
K4_269,HV4_269,Quy định
K4_269,HP4_269,Áp dụng
D270,K1_270,Gồm
K1_270,HV1_270,Quy định
K1_270,OR1_270,Cần điều kiện
OR1_270,P1A_270,Gồm
OR1_270,P1B_270,Gồm
OR1_270,P1C_270,Gồm
OR1_270,P1D_270,Gồm
OR1_270,HP1_270,Áp dụng
D270,K2_270,Gồm
K2_270,HV2_270,Quy định
K2_270,OR2_270,Cần điều kiện
OR2_270,P2A_270,Gồm
OR2_270,P2B_270,Gồm
OR2_270,P2C_270,Gồm
OR2_270,HP2_270,Áp dụng
D270,K3_270,Gồm
K3_270,HV3_270,Quy định
K3_270,OR3_270,Cần điều kiện
OR3_270,P3A_270,Gồm
OR3_270,P3B_270,Gồm
OR3_270,P3C_270,Gồm
OR3_270,HP3_270,Áp dụng
D270,K4_270,Gồm
K4_270,HV4_270,Quy định
K4_270,HP4_270,Áp dụng
D271,K1_271,Gồm
K1_271,HV1_271,Quy định
K1_271,OR1_271,Cần điều kiện
OR1_271,P1A_271,Gồm
OR1_271,P1B_271,Gồm
OR1_271,P1C_271,Gồm
OR1_271,P1D_271,Gồm
OR1_271,HP1_271,Áp dụng
D271,K2_271,Gồm
K2_271,HV2_271,Quy định
K2_271,OR2_271,Cần điều kiện
OR2_271,P2A_271,Gồm
OR2_271,P2B_271,Gồm
OR2_271,P2C_271,Gồm
OR2_271,HP2_271,Áp dụng
D271,K3_271,Gồm
K3_271,HV3_271,Quy định
K3_271,OR3_271,Cần điều kiện
OR3_271,P3A_271,Gồm
OR3_271,P3B_271,Gồm
OR3_271,P3C_271,Gồm
OR3_271,HP3_271,Áp dụng
D271,K4_271,Gồm
K4_271,HV4_271,Quy định
K4_271,HP4_271,Áp dụng
C21,D272,Gồm
C21,D273,Gồm
C21,D274,Gồm
D272,K1_272,Gồm
K1_272,HV1_272,Quy định
K1_272,OR1_272,Cần điều kiện
OR1_272,P1A_272,Gồm
OR1_272,P1B_272,Gồm
OR1_272,P1C_272,Gồm
OR1_272,P1D_272,Gồm
OR1_272,HP1_272,Áp dụng
D272,K2_272,Gồm
K2_272,HV2_272,Quy định
K2_272,OR2_272,Cần điều kiện
