From,To,Relationship
CH22,D330,Gồm
CH22,D331,Gồm
CH22,D332,Gồm
CH22,D333,Gồm
CH22,D334,Gồm
CH22,D335,Gồm
CH22,D336,Gồm
CH22,D337,Gồm
CH22,D338,Gồm
CH22,D339,Gồm
CH22,D340,Gồm
D330,K1_D330,Gồm
K1_D330,HV_K1_D330,Quy định
K1_D330,HP_K1_D330,Áp dụng
D330,K2_D330,Gồm
K2_D330,OR_K2_D330,Cần điều kiện
OR_K2_D330,P_a_K2_D330,Gồm
OR_K2_D330,P_b_K2_D330,Gồm
OR_K2_D330,P_c_K2_D330,Gồm
OR_K2_D330,P_d_K2_D330,Gồm
OR_K2_D330,P_dd_K2_D330,Gồm
OR_K2_D330,HP_K2_D330,Áp dụng
D331,K1_D331,Gồm
K1_D331,HV_K1_D331,Quy định
K1_D331,HP_K1_D331,Áp dụng
D331,K2_D331,Gồm
K2_D331,HV_K2_D331,Quy định
K2_D331,HP_K2_D331,Áp dụng
D332,K1_D332,Gồm
K1_D332,HV_K1_D332,Quy định
K1_D332,HP_K1_D332,Áp dụng
D332,K2_D332,Gồm
K2_D332,OR_K2_D332,Cần điều kiện
OR_K2_D332,P_a_K2_D332,Gồm
OR_K2_D332,P_b_K2_D332,Gồm
OR_K2_D332,P_c_K2_D332,Gồm
OR_K2_D332,HP_K2_D332,Áp dụng
D333,K1_D333,Gồm
K1_D333,HV_K1_D333,Quy định
K1_D333,HP_K1_D333,Áp dụng
D333,K2_D333,Gồm
K2_D333,OR_K2_D333,Cần điều kiện
OR_K2_D333,P_a_K2_D333,Gồm
OR_K2_D333,P_b_K2_D333,Gồm
OR_K2_D333,HP_K2_D333,Áp dụng
D334,K1_D334,Gồm
K1_D334,HV_K1_D334,Quy định
K1_D334,HP_K1_D334,Áp dụng
D334,K2_D334,Gồm
K2_D334,HV_K2_D334,Quy định
K2_D334,HP_K2_D334,Áp dụng
D334,K3_D334,Gồm
K3_D334,HV_K3_D334,Quy định
K3_D334,HP_K3_D334,Áp dụng
D335,K1_D335,Gồm
K1_D335,HV_K1_D335,Quy định
K1_D335,HP_K1_D335,Áp dụng
D335,K2_D335,Gồm
K2_D335,OR_K2_D335,Cần điều kiện
OR_K2_D335,P_1_K2_D335,Gồm
OR_K2_D335,P_2_K2_D335,Gồm
OR_K2_D335,HP_K2_D335,Áp dụng
D336,K1_D336,Gồm
K1_D336,HV_K1_D336,Quy định
K1_D336,HP_K1_D336,Áp dụng
D336,K2_D336,Gồm
K2_D336,OR_K2_D336,Cần điều kiện
OR_K2_D336,P_a_K2_D336,Gồm
OR_K2_D336,P_b_K2_D336,Gồm
OR_K2_D336,HP_K2_D336,Áp dụng
D336,K3_D336,Gồm
K3_D336,HV_K3_D336,Quy định
K3_D336,HP_K3_D336,Áp dụng
D337,K1_D337,Gồm
K1_D337,HV_K1_D337,Quy định
K1_D337,HP_K1_D337,Áp dụng
D337,K2_D337,Gồm
K2_D337,OR_K2_D337,Cần điều kiện
OR_K2_D337,P_a_K2_D337,Gồm
OR_K2_D337,P_b_K2_D337,Gồm
OR_K2_D337,P_c_K2_D337,Gồm
OR_K2_D337,HP_K2_D337,Áp dụng
D337,K3_D337,Gồm
K3_D337,OR_K3_D337,Cần điều kiện
OR_K3_D337,P_a_K3_D337,Gồm
OR_K3_D337,P_b_K3_D337,Gồm
OR_K3_D337,P_c_K3_D337,Gồm
OR_K3_D337,P_d_K3_D337,Gồm
OR_K3_D337,HP_K3_D337,Áp dụng
D337,K4_D337,Gồm
K4_D337,HV_K4_D337,Quy định
K4_D337,HP_K4_D337,Áp dụng
D338,K1_D338,Gồm
K1_D338,HV_K1_D338,Quy định
K1_D338,HP_K1_D338,Áp dụng
D338,K2_D338,Gồm
K2_D338,OR_K2_D338,Cần điều kiện
OR_K2_D338,P_a_K2_D338,Gồm
OR_K2_D338,P_b_K2_D338,Gồm
OR_K2_D338,HP_K2_D338,Áp dụng
D338,K3_D338,Gồm
K3_D338,HV_K3_D338,Quy định
K3_D338,HP_K3_D338,Áp dụng
D339,K1_D339,Gồm
K1_D339,AND_K1_D339,Cần điều kiện
AND_K1_D339,P_1_K1_D339,Gồm
AND_K1_D339,P_2_K1_D339,Gồm
AND_K1_D339,HP_K1_D339,Áp dụng
D340,K1_D340,Gồm
K1_D340,HV_K1_D340,Quy định
K1_D340,HP_K1_D340,Áp dụng
D340,K2_D340,Gồm
K2_D340,OR_K2_D340,Cần điều kiện
OR_K2_D340,P_a_K2_D340,Gồm
OR_K2_D340,P_b_K2_D340,Gồm
OR_K2_D340,HP_K2_D340,Áp dụng
D340,K3_D340,Gồm
K3_D340,HV_K3_D340,Quy định
K3_D340,HP_K3_D340,Áp dụng
CH22,D341,Gồm
CH22,D342,Gồm
CH22,D343,Gồm
CH22,D344,Gồm
CH22,D345,Gồm
CH22,D346,Gồm
CH22,D347,Gồm
CH22,D348,Gồm
CH22,D349,Gồm
CH22,D350,Gồm
CH22,D351,Gồm
D341,K1_D341,Gồm
K1_D341,HV_K1_D341,Quy định
K1_D341,HP_K1_D341,Áp dụng
D341,K2_D341,Gồm
K2_D341,OR_K2_D341,Cần điều kiện
OR_K2_D341,P_a_K2_D341,Gồm
OR_K2_D341,P_b_K2_D341,Gồm
OR_K2_D341,P_c_K2_D341,Gồm
OR_K2_D341,P_d_K2_D341,Gồm
OR_K2_D341,P_dd_K2_D341,Gồm
OR_K2_D341,P_e_K2_D341,Gồm
OR_K2_D341,HP_K2_D341,Áp dụng
