From,To,Relationship
CH23,D352,Gồm
CH23,D353,Gồm
CH23,D354,Gồm
CH23,D355,Gồm
D352,K1_D352,Gồm
K1_D352,HV_K1_D352,Quy định
D352,K2_D352,Gồm
K2_D352,HV_K2_D352,Quy định
D353,K1_D353,Gồm
K1_D353,HV_K1_D353,Quy định
K1_D353,OR_K1_D353,Cần điều kiện
OR_K1_D353,P_a_K1_D353,Gồm
OR_K1_D353,P_b_K1_D353,Gồm
OR_K1_D353,HP_K1_D353,Áp dụng
D353,K2_D353,Gồm
K2_D353,OR_K2_D353,Cần điều kiện
OR_K2_D353,P_a_K2_D353,Gồm
OR_K2_D353,P_b_K2_D353,Gồm
OR_K2_D353,P_c_K2_D353,Gồm
OR_K2_D353,P_d_K2_D353,Gồm
OR_K2_D353,P_dd_K2_D353,Gồm
OR_K2_D353,P_e_K2_D353,Gồm
OR_K2_D353,P_g_K2_D353,Gồm
OR_K2_D353,HP_K2_D353,Áp dụng
D353,K3_D353,Gồm
K3_D353,OR_K3_D353,Cần điều kiện
OR_K3_D353,P_a_K3_D353,Gồm
OR_K3_D353,P_b_K3_D353,Gồm
OR_K3_D353,P_c_K3_D353,Gồm
OR_K3_D353,P_d_K3_D353,Gồm
OR_K3_D353,HP_K3_D353,Áp dụng
D353,K4_D353,Gồm
K4_D353,OR_K4_D353,Cần điều kiện
OR_K4_D353,P_a_K4_D353,Gồm
OR_K4_D353,P_b_K4_D353,Gồm
OR_K4_D353,HP_K4_D353,Áp dụng
D353,K5_D353,Gồm
K5_D353,HV_K5_D353,Quy định
K5_D353,HP_K5_D353,Áp dụng
D353,K6_D353,Gồm
K6_D353,HV_K6_D353,Quy định
K6_D353,HP_K6_D353,Áp dụng
D354,K1_D354,Gồm
K1_D354,HV_K1_D354,Quy định
K1_D354,OR_K1_D354,Cần điều kiện
OR_K1_D354,P_a_K1_D354,Gồm
OR_K1_D354,P_b_K1_D354,Gồm
OR_K1_D354,HP_K1_D354,Áp dụng
D354,K2_D354,Gồm
K2_D354,OR_K2_D354,Cần điều kiện
OR_K2_D354,P_a_K2_D354,Gồm
OR_K2_D354,P_b_K2_D354,Gồm
OR_K2_D354,P_c_K2_D354,Gồm
OR_K2_D354,P_d_K2_D354,Gồm
OR_K2_D354,P_dd_K2_D354,Gồm
OR_K2_D354,P_e_K2_D354,Gồm
OR_K2_D354,P_g_K2_D354,Gồm
OR_K2_D354,HP_K2_D354,Áp dụng
D354,K3_D354,Gồm
K3_D354,OR_K3_D354,Cần điều kiện
OR_K3_D354,P_a_K3_D354,Gồm
OR_K3_D354,P_b_K3_D354,Gồm
OR_K3_D354,HP_K3_D354,Áp dụng
D354,K4_D354,Gồm
K4_D354,OR_K4_D354,Cần điều kiện
OR_K4_D354,P_a_K4_D354,Gồm
OR_K4_D354,P_b_K4_D354,Gồm
OR_K4_D354,HP_K4_D354,Áp dụng
D354,K5_D354,Gồm
K5_D354,HV_K5_D354,Quy định
K5_D354,HP_K5_D354,Áp dụng
D354,K6_D354,Gồm
K6_D354,HV_K6_D354,Quy định
K6_D354,HP_K6_D354,Áp dụng
D355,K1_D355,Gồm
K1_D355,HV_K1_D355,Quy định
K1_D355,OR_K1_D355,Cần điều kiện
OR_K1_D355,P_a_K1_D355,Gồm
OR_K1_D355,P_b_K1_D355,Gồm
OR_K1_D355,HP_K1_D355,Áp dụng
D355,K2_D355,Gồm
K2_D355,OR_K2_D355,Cần điều kiện
OR_K2_D355,P_a_K2_D355,Gồm
OR_K2_D355,P_b_K2_D355,Gồm
OR_K2_D355,P_c_K2_D355,Gồm
OR_K2_D355,P_d_K2_D355,Gồm
OR_K2_D355,P_dd_K2_D355,Gồm
OR_K2_D355,P_e_K2_D355,Gồm
OR_K2_D355,HP_K2_D355,Áp dụng
D355,K3_D355,Gồm
K3_D355,OR_K3_D355,Cần điều kiện
OR_K3_D355,P_a_K3_D355,Gồm
OR_K3_D355,P_b_K3_D355,Gồm
OR_K3_D355,P_c_K3_D355,Gồm
OR_K3_D355,P_d_K3_D355,Gồm
OR_K3_D355,HP_K3_D355,Áp dụng
D355,K4_D355,Gồm
K4_D355,OR_K4_D355,Cần điều kiện
OR_K4_D355,P_a_K4_D355,Gồm
OR_K4_D355,P_b_K4_D355,Gồm
OR_K4_D355,HP_K4_D355,Áp dụng
D355,K5_D355,Gồm
K5_D355,HV_K5_D355,Quy định
K5_D355,HP_K5_D355,Áp dụng
CH23,D356,Gồm
CH23,D357,Gồm
CH23,D358,Gồm
CH23,D359,Gồm
CH23,D360,Gồm
CH23,D361,Gồm
D356,K1_D356,Gồm
K1_D356,HV_K1_D356,Quy định
K1_D356,HP_K1_D356,Áp dụng
D356,K2_D356,Gồm
K2_D356,OR_K2_D356,Cần điều kiện
OR_K2_D356,P_a_K2_D356,Gồm
OR_K2_D356,P_b_K2_D356,Gồm
OR_K2_D356,P_c_K2_D356,Gồm
OR_K2_D356,HP_K2_D356,Áp dụng
D356,K3_D356,Gồm
K3_D356,HV_K3_D356,Quy định
K3_D356,HP_K3_D356,Áp dụng
D356,K4_D356,Gồm
K4_D356,HV_K4_D356,Quy định
K4_D356,HP_K4_D356,Áp dụng
D357,K1_D357,Gồm
K1_D357,HV_K1_D357,Quy định
K1_D357,HP_K1_D357,Áp dụng
D357,K2_D357,Gồm
K2_D357,OR_K2_D357,Cần điều kiện
OR_K2_D357,P_a_K2_D357,Gồm
OR_K2_D357,P_b_K2_D357,Gồm
OR_K2_D357,P_c_K2_D357,Gồm
OR_K2_D357,HP_K2_D357,Áp dụng
D357,K3_D357,Gồm
K3_D357,HV_K3_D357,Quy định
K3_D357,HP_K3_D357,Áp dụng
D357,K4_D357,Gồm
K4_D357,HV_K4_D357,Quy định
K4_D357,HP_K4_D357,Áp dụng
D357,K5_D357,Gồm
K5_D357,HV_K5_D357,Quy định
K5_D357,HP_K5_D357,Áp dụng
D358,K1_D358,Gồm
K1_D358,HV_K1_D358,Quy định
K1_D358,OR_K1_D358,Cần điều kiện
OR_K1_D358,P_a_K1_D358,Gồm
OR_K1_D358,P_b_K1_D358,Gồm
OR_K1_D358,HP_K1_D358,Áp dụng
D358,K2_D358,Gồm
K2_D358,OR_K2_D358,Cần điều kiện
OR_K2_D358,P_a_K2_D358,Gồm
OR_K2_D358,P_b_K2_D358,Gồm
OR_K2_D358,P_c_K2_D358,Gồm
OR_K2_D358,P_d_K2_D358,Gồm
OR_K2_D358,HP_K2_D358,Áp dụng
D358,K3_D358,Gồm
K3_D358,OR_K3_D358,Cần điều kiện
OR_K3_D358,P_a_K3_D358,Gồm
OR_K3_D358,P_b_K3_D358,Gồm
OR_K3_D358,HP_K3_D358,Áp dụng
D358,K4_D358,Gồm
K4_D358,OR_K4_D358,Cần điều kiện
OR_K4_D358,P_a_K4_D358,Gồm
OR_K4_D358,P_b_K4_D358,Gồm
OR_K4_D358,HP_K4_D358,Áp dụng
D358,K5_D358,Gồm
K5_D358,HV_K5_D358,Quy định
K5_D358,HP_K5_D358,Áp dụng
D359,K1_D359,Gồm
K1_D359,HV_K1_D359,Quy định
K1_D359,OR_K1_D359,Cần điều kiện
OR_K1_D359,P_a_K1_D359,Gồm
OR_K1_D359,P_b_K1_D359,Gồm
OR_K1_D359,P_c_K1_D359,Gồm
OR_K1_D359,HP_K1_D359,Áp dụng
D359,K2_D359,Gồm
K2_D359,OR_K2_D359,Cần điều kiện
OR_K2_D359,P_a_K2_D359,Gồm
OR_K2_D359,P_b_K2_D359,Gồm
OR_K2_D359,P_c_K2_D359,Gồm
OR_K2_D359,HP_K2_D359,Áp dụng
D359,K3_D359,Gồm
K3_D359,OR_K3_D359,Cần điều kiện
OR_K3_D359,P_a_K3_D359,Gồm
OR_K3_D359,P_b_K3_D359,Gồm
OR_K3_D359,HP_K3_D359,Áp dụng
D359,K4_D359,Gồm
K4_D359,OR_K4_D359,Cần điều kiện
OR_K4_D359,P_a_K4_D359,Gồm
OR_K4_D359,P_b_K4_D359,Gồm
OR_K4_D359,HP_K4_D359,Áp dụng
D359,K5_D359,Gồm
K5_D359,HV_K5_D359,Quy định
K5_D359,HP_K5_D359,Áp dụng
D360,K1_D360,Gồm
K1_D360,HV_K1_D360,Quy định
K1_D360,OR_K1_D360,Cần điều kiện
OR_K1_D360,P_a_K1_D360,Gồm
OR_K1_D360,P_b_K1_D360,Gồm
OR_K1_D360,P_c_K1_D360,Gồm
OR_K1_D360,P_d_K1_D360,Gồm
OR_K1_D360,HP_K1_D360,Áp dụng
D360,K2_D360,Gồm
K2_D360,OR_K2_D360,Cần điều kiện
OR_K2_D360,P_a_K2_D360,Gồm
OR_K2_D360,P_b_K2_D360,Gồm
OR_K2_D360,P_c_K2_D360,Gồm
OR_K2_D360,HP_K2_D360,Áp dụng
D360,K3_D360,Gồm
K3_D360,OR_K3_D360,Cần điều kiện
OR_K3_D360,P_a_K3_D360,Gồm
OR_K3_D360,P_b_K3_D360,Gồm
OR_K3_D360,P_c_K3_D360,Gồm
OR_K3_D360,HP_K3_D360,Áp dụng
