From,To,Relationship
CH24,D367,Gồm
CH24,D368,Gồm
CH24,D369,Gồm
CH24,D370,Gồm
D367,K1_D367,Gồm
K1_D367,HV_K1_D367,Quy định
D368,K1_D368,Gồm
K1_D368,HV_K1_D368,Quy định
K1_D368,HP_K1_D368,Áp dụng
D368,K2_D368,Gồm
K2_D368,OR_K2_D368,Cần điều kiện
OR_K2_D368,P_a_K2_D368,Gồm
OR_K2_D368,P_b_K2_D368,Gồm
OR_K2_D368,P_c_K2_D368,Gồm
OR_K2_D368,P_d_K2_D368,Gồm
OR_K2_D368,P_dd_K2_D368,Gồm
OR_K2_D368,P_e_K2_D368,Gồm
OR_K2_D368,HP_K2_D368,Áp dụng
D368,K3_D368,Gồm
K3_D368,OR_K3_D368,Cần điều kiện
OR_K3_D368,P_a_K3_D368,Gồm
OR_K3_D368,P_b_K3_D368,Gồm
OR_K3_D368,P_c_K3_D368,Gồm
OR_K3_D368,P_d_K3_D368,Gồm
OR_K3_D368,HP_K3_D368,Áp dụng
D368,K4_D368,Gồm
K4_D368,HV_K4_D368,Quy định
K4_D368,HP_K4_D368,Áp dụng
D369,K1_D369,Gồm
K1_D369,HV_K1_D369,Quy định
K1_D369,HP_K1_D369,Áp dụng
D369,K2_D369,Gồm
K2_D369,OR_K2_D369,Cần điều kiện
OR_K2_D369,P_a_K2_D369,Gồm
OR_K2_D369,P_b_K2_D369,Gồm
OR_K2_D369,P_c_K2_D369,Gồm
OR_K2_D369,P_d_K2_D369,Gồm
OR_K2_D369,P_dd_K2_D369,Gồm
OR_K2_D369,HP_K2_D369,Áp dụng
D369,K3_D369,Gồm
K3_D369,OR_K3_D369,Cần điều kiện
OR_K3_D369,P_a_K3_D369,Gồm
OR_K3_D369,P_b_K3_D369,Gồm
OR_K3_D369,P_c_K3_D369,Gồm
OR_K3_D369,P_d_K3_D369,Gồm
OR_K3_D369,HP_K3_D369,Áp dụng
D369,K4_D369,Gồm
K4_D369,HV_K4_D369,Quy định
K4_D369,HP_K4_D369,Áp dụng
D370,K1_D370,Gồm
K1_D370,HV_K1_D370,Quy định
K1_D370,HP_K1_D370,Áp dụng
D370,K2_D370,Gồm
K2_D370,OR_K2_D370,Cần điều kiện
OR_K2_D370,P_a_K2_D370,Gồm
OR_K2_D370,P_b_K2_D370,Gồm
OR_K2_D370,P_c_K2_D370,Gồm
OR_K2_D370,P_d_K2_D370,Gồm
OR_K2_D370,P_dd_K2_D370,Gồm
OR_K2_D370,P_e_K2_D370,Gồm
OR_K2_D370,P_g_K2_D370,Gồm
OR_K2_D370,HP_K2_D370,Áp dụng
D370,K3_D370,Gồm
K3_D370,OR_K3_D370,Cần điều kiện
OR_K3_D370,P_a_K3_D370,Gồm
OR_K3_D370,P_b_K3_D370,Gồm
OR_K3_D370,P_c_K3_D370,Gồm
OR_K3_D370,P_d_K3_D370,Gồm
OR_K3_D370,P_dd_K3_D370,Gồm
OR_K3_D370,HP_K3_D370,Áp dụng
D370,K4_D370,Gồm
K4_D370,HV_K4_D370,Quy định
K4_D370,HP_K4_D370,Áp dụng
CH24,D371,Gồm
CH24,D372,Gồm
CH24,D373,Gồm
CH24,D374,Gồm
CH24,D375,Gồm
D371,K1_D371,Gồm
K1_D371,HV_K1_D371,Quy định
K1_D371,HP_K1_D371,Áp dụng
D371,K2_D371,Gồm
K2_D371,OR_K2_D371,Cần điều kiện
OR_K2_D371,P_a_K2_D371,Gồm
OR_K2_D371,P_b_K2_D371,Gồm
OR_K2_D371,P_c_K2_D371,Gồm
OR_K2_D371,P_d_K2_D371,Gồm
OR_K2_D371,P_dd_K2_D371,Gồm
OR_K2_D371,P_e_K2_D371,Gồm
OR_K2_D371,HP_K2_D371,Áp dụng
D371,K3_D371,Gồm
K3_D371,OR_K3_D371,Cần điều kiện
OR_K3_D371,P_a_K3_D371,Gồm
OR_K3_D371,P_b_K3_D371,Gồm
OR_K3_D371,P_c_K3_D371,Gồm
OR_K3_D371,HP_K3_D371,Áp dụng
D371,K4_D371,Gồm
K4_D371,HV_K4_D371,Quy định
K4_D371,HP_K4_D371,Áp dụng
D372,K1_D372,Gồm
K1_D372,HV_K1_D372,Quy định
K1_D372,HP_K1_D372,Áp dụng
D372,K2_D372,Gồm
K2_D372,OR_K2_D372,Cần điều kiện
OR_K2_D372,P_a_K2_D372,Gồm
OR_K2_D372,P_b_K2_D372,Gồm
OR_K2_D372,P_c_K2_D372,Gồm
OR_K2_D372,P_d_K2_D372,Gồm
OR_K2_D372,P_dd_K2_D372,Gồm
OR_K2_D372,HP_K2_D372,Áp dụng
D372,K3_D372,Gồm
K3_D372,OR_K3_D372,Cần điều kiện
OR_K3_D372,P_a_K3_D372,Gồm
OR_K3_D372,P_b_K3_D372,Gồm
OR_K3_D372,HP_K3_D372,Áp dụng
D372,K4_D372,Gồm
K4_D372,HV_K4_D372,Quy định
K4_D372,HP_K4_D372,Áp dụng
D373,K1_D373,Gồm
K1_D373,HV_K1_D373,Quy định
K1_D373,HP_K1_D373,Áp dụng
D373,K2_D373,Gồm
K2_D373,OR_K2_D373,Cần điều kiện
OR_K2_D373,P_a_K2_D373,Gồm
OR_K2_D373,P_b_K2_D373,Gồm
OR_K2_D373,P_c_K2_D373,Gồm
OR_K2_D373,P_d_K2_D373,Gồm
OR_K2_D373,P_dd_K2_D373,Gồm
OR_K2_D373,HP_K2_D373,Áp dụng
D373,K3_D373,Gồm
K3_D373,OR_K3_D373,Cần điều kiện
OR_K3_D373,P_a_K3_D373,Gồm
OR_K3_D373,P_b_K3_D373,Gồm
OR_K3_D373,HP_K3_D373,Áp dụng
D373,K4_D373,Gồm
K4_D373,HV_K4_D373,Quy định
K4_D373,HP_K4_D373,Áp dụng
D373,K5_D373,Gồm
K5_D373,HV_K5_D373,Quy định
K5_D373,HP_K5_D373,Áp dụng
D374,K1_D374,Gồm
K1_D374,HV_K1_D374,Quy định
K1_D374,HP_K1_D374,Áp dụng
D374,K2_D374,Gồm
K2_D374,OR_K2_D374,Cần điều kiện
OR_K2_D374,P_a_K2_D374,Gồm
OR_K2_D374,P_b_K2_D374,Gồm
OR_K2_D374,P_c_K2_D374,Gồm
OR_K2_D374,P_d_K2_D374,Gồm
OR_K2_D374,P_dd_K2_D374,Gồm
OR_K2_D374,P_e_K2_D374,Gồm
OR_K2_D374,P_g_K2_D374,Gồm
OR_K2_D374,HP_K2_D374,Áp dụng
D374,K3_D374,Gồm
K3_D374,OR_K3_D374,Cần điều kiện
OR_K3_D374,P_a_K3_D374,Gồm
