From,To,Relationship
CH25,D392,Gồm
CH25,D393,Gồm
CH25,D394,Gồm
CH25,D395,Gồm
CH25,D396,Gồm
CH25,D397,Gồm
CH25,D398,Gồm
CH25,D399,Gồm
CH25,D400,Gồm
CH25,D401,Gồm
CH25,D402,Gồm
CH25,D403,Gồm
D392,K1_D392,Gồm
K1_D392,HV_K1_D392,Quy định
D392,K2_D392,Gồm
K2_D392,HV_K2_D392,Quy định
D392,K3_D392,Gồm
K3_D392,HV_K3_D392,Quy định
D392,K4_D392,Gồm
K4_D392,HV_K4_D392,Quy định
D393,K1_D393,Gồm
K1_D393,HV_K1_D393,Quy định
K1_D393,HP_K1_D393,Áp dụng
D393,K2_D393,Gồm
K2_D393,OR_K2_D393,Cần điều kiện
OR_K2_D393,P_a_K2_D393,Gồm
OR_K2_D393,P_b_K2_D393,Gồm
OR_K2_D393,P_c_K2_D393,Gồm
OR_K2_D393,P_d_K2_D393,Gồm
OR_K2_D393,P_dd_K2_D393,Gồm
OR_K2_D393,HP_K2_D393,Áp dụng
D393,K3_D393,Gồm
K3_D393,HV_K3_D393,Quy định
K3_D393,HP_K3_D393,Áp dụng
D394,K1_D394,Gồm
K1_D394,HV_K1_D394,Quy định
K1_D394,HP_K1_D394,Áp dụng
D394,K2_D394,Gồm
K2_D394,OR_K2_D394,Cần điều kiện
OR_K2_D394,P_a_K2_D394,Gồm
OR_K2_D394,P_b_K2_D394,Gồm
OR_K2_D394,P_c_K2_D394,Gồm
OR_K2_D394,P_d_K2_D394,Gồm
OR_K2_D394,HP_K2_D394,Áp dụng
D394,K3_D394,Gồm
K3_D394,OR_K3_D394,Cần điều kiện
OR_K3_D394,P_a_K3_D394,Gồm
OR_K3_D394,P_b_K3_D394,Gồm
OR_K3_D394,P_c_K3_D394,Gồm
OR_K3_D394,P_d_K3_D394,Gồm
OR_K3_D394,P_dd_K3_D394,Gồm
OR_K3_D394,HP_K3_D394,Áp dụng
D394,K4_D394,Gồm
K4_D394,HV_K4_D394,Quy định
K4_D394,HP_K4_D394,Áp dụng
D395,K1_D395,Gồm
K1_D395,HV_K1_D395,Quy định
K1_D395,HP_K1_D395,Áp dụng
D395,K2_D395,Gồm
K2_D395,OR_K2_D395,Cần điều kiện
OR_K2_D395,P_a_K2_D395,Gồm
OR_K2_D395,P_b_K2_D395,Gồm
OR_K2_D395,P_c_K2_D395,Gồm
OR_K2_D395,P_d_K2_D395,Gồm
OR_K2_D395,P_dd_K2_D395,Gồm
OR_K2_D395,HP_K2_D395,Áp dụng
D396,K1_D396,Gồm
K1_D396,HV_K1_D396,Quy định
K1_D396,HP_K1_D396,Áp dụng
D396,K2_D396,Gồm
K2_D396,OR_K2_D396,Cần điều kiện
OR_K2_D396,P_a_K2_D396,Gồm
OR_K2_D396,P_b_K2_D396,Gồm
OR_K2_D396,P_c_K2_D396,Gồm
OR_K2_D396,P_d_K2_D396,Gồm
OR_K2_D396,HP_K2_D396,Áp dụng
D396,K3_D396,Gồm
K3_D396,OR_K3_D396,Cần điều kiện
OR_K3_D396,P_a_K3_D396,Gồm
OR_K3_D396,P_b_K3_D396,Gồm
OR_K3_D396,P_c_K3_D396,Gồm
OR_K3_D396,P_d_K3_D396,Gồm
OR_K3_D396,P_dd_K3_D396,Gồm
OR_K3_D396,HP_K3_D396,Áp dụng
D397,K1_D397,Gồm
K1_D397,HV_K1_D397,Quy định
K1_D397,HP_K1_D397,Áp dụng
D397,K2_D397,Gồm
K2_D397,OR_K2_D397,Cần điều kiện
OR_K2_D397,P_a_K2_D397,Gồm
OR_K2_D397,P_b_K2_D397,Gồm
OR_K2_D397,P_c_K2_D397,Gồm
OR_K2_D397,P_d_K2_D397,Gồm
OR_K2_D397,P_dd_K2_D397,Gồm
OR_K2_D397,P_e_K2_D397,Gồm
OR_K2_D397,P_g_K2_D397,Gồm
OR_K2_D397,P_h_K2_D397,Gồm
OR_K2_D397,HP_K2_D397,Áp dụng
D398,K1_D398,Gồm
K1_D398,HV_K1_D398,Quy định
K1_D398,HP_K1_D398,Áp dụng
D398,K2_D398,Gồm
K2_D398,OR_K2_D398,Cần điều kiện
