From,To,Relationship
CH26,D421,Gồm
CH26,D422,Gồm
CH26,D423,Gồm
CH26,D424,Gồm
CH26,D425,Gồm
D421,K1_D421,Gồm
K1_D421,HV_K1_D421,Quy định
K1_D421,HP_K1_D421,Áp dụng
D421,K2_D421,Gồm
K2_D421,HV_K2_D421,Quy định
K2_D421,HP_K2_D421,Áp dụng
D422,K1_D422,Gồm
K1_D422,HV_K1_D422,Quy định
K1_D422,HP_K1_D422,Áp dụng
D422,K2_D422,Gồm
K2_D422,HV_K2_D422,Quy định
K2_D422,HP_K2_D422,Áp dụng
D423,K1_D423,Gồm
K1_D423,HV_K1_D423,Quy định
K1_D423,HP_K1_D423,Áp dụng
D423,K2_D423,Gồm
K2_D423,HV_K2_D423,Quy định
K2_D423,HP_K2_D423,Áp dụng
D424,K1_D424,Gồm
K1_D424,HV_K1_D424,Quy định
K1_D424,HP_K1_D424,Áp dụng
D425,K1_D425,Gồm
K1_D425,HV_K1_D425,Quy định
K1_D425,HP_K1_D425,Áp dụng
