From,To,Relationship
D2,D2_K1,Gồm
D2,D2_K2,Gồm
D3,D3_K1,Gồm
D3_K1,D3_K1_Da,Gồm
D3_K1,D3_K1_Db,Gồm
D3_K1,D3_K1_Dc,Gồm
D3_K1,D3_K1_De,Gồm
D3_K1,D3_K1_Dg,Gồm
D3_K1,D3_K1_Dđ,Gồm
D3,D3_K2,Gồm
D3_K2,D3_K2_Da,Gồm
D3_K2,D3_K2_Db,Gồm
D3_K2,D3_K2_Dc,Gồm
D4,D4_K1,Gồm
D4_K1,D4_K1_Da,Gồm
D4_K1,D4_K1_Db,Gồm
D4_K1,D4_K1_Dc,Gồm
D4_K1,D4_K1_Dd,Gồm
D4,D4_K2,Gồm
D4,D4_K3,Gồm
D4_K3,D4_K3_Da,Gồm
D4_K3,D4_K3_Db,Gồm
D4,D4_K4,Gồm
D4,D4_K5,Gồm
D4,D4_K6,Gồm
D4_K6,D4_K6_Da,Gồm
D4_K6,D4_K6_Db,Gồm
D5,D5_K1,Gồm
D5,D5_K2,Gồm
D6,D6_K1,Gồm
D6,D6_K2,Gồm
D6,D6_K3,Gồm
D7,D7_K1,Gồm
D7,D7_K2,Gồm
D7,D7_K3,Gồm
D8,D8_K1,Gồm
D8,D8_K2,Gồm
D9,D9_K1,Gồm
D9_K1,D9_K1_Da,Gồm
D9_K1,D9_K1_Db,Gồm
D9_K1,D9_K1_Dc,Gồm
D9_K1,D9_K1_Dd,Gồm
D9,D9_K2,Gồm
D10,D10_K1,Gồm
D10,D10_K2,Gồm
D11,D11_K1,Gồm
D11,D11_K2,Gồm
D12,D12_K1,Gồm
D12,D12_K2,Gồm
D14,D14_K1,Gồm
D14,D14_K2,Gồm
D14,D14_K3,Gồm
D17,D17_K1,Gồm
D17,D17_K2,Gồm
D17,D17_K3,Gồm
D17,D17_K4,Gồm
D18,D18_K1,Gồm
D18,D18_K2,Gồm
D19,D19_K1,Gồm
D19,D19_K2,Gồm
D19,D19_K3,Gồm
D22,D22_K1,Gồm
D22,D22_K2,Gồm
D23,D23_K1,Gồm
D23,D23_K2,Gồm
D24,D24_K1,Gồm
D24,D24_K2,Gồm
D27,D27_K1,Gồm
D27,D27_K2,Gồm
D27_K2,D27_K2_Da,Gồm
D27_K2,D27_K2_Db,Gồm
D27_K2,D27_K2_Dc,Gồm
D27_K2,D27_K2_Dd,Gồm
D27,D27_K3,Gồm
D28,D28_K1,Gồm
D28,D28_K2,Gồm
D28,D28_K3,Gồm
D29,D29_K1,Gồm
D29_K1,D29_K1_Da,Gồm
D29_K1,D29_K1_Db,Gồm
D29,D29_K2,Gồm
D29_K2,D29_K2_Da,Gồm
D29_K2,D29_K2_Db,Gồm
D29_K2,D29_K2_Dc,Gồm
D29,D29_K3,Gồm
D32,D32_K1,Gồm
D32_K1,D32_K1_Da,Gồm
D32_K1,D32_K1_Db,Gồm
D32_K1,D32_K1_Dc,Gồm
D32_K1,D32_K1_Dd,Gồm
D32_K1,D32_K1_De,Gồm
D32_K1,D32_K1_Dg,Gồm
D32_K1,D32_K1_Dđ,Gồm
D32,D32_K2,Gồm
D32_K2,D32_K2_Da,Gồm
D32_K2,D32_K2_Db,Gồm
D32_K2,D32_K2_Dc,Gồm
D32_K2,D32_K2_Dd,Gồm
D32_K2,D32_K2_De,Gồm
D32_K2,D32_K2_Dg,Gồm
D32_K2,D32_K2_Dđ,Gồm
D32,D32_K3,Gồm
