ID,Name,Label
C14,"Chương XIV: Các tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con người",Chương
D123,"Điều 123: Tội giết người",Điều
D123_K1,"Khoản 1 Điều 123",Khoản
D123_K1_HV,"Giết người thuộc các trường hợp đặc biệt nghiêm trọng",Hành vi chính
D123_K1_OR,"Thuộc một trong các trường hợp sau (OR)",Node Logic OR
D123_K1_Da,"Điểm a: Giết 02 người trở lên",Điểm
D123_K1_Db,"Điểm b: Giết người dưới 16 tuổi",Điểm
D123_K1_Dc,"Điểm c: Giết phụ nữ mà biết là có thai",Điểm
D123_K1_Dd,"Điểm d: Giết người đang thi hành công vụ hoặc vì lý do công vụ",Điểm
D123_K1_Dđ,"Điểm đ: Giết ông, bà, cha, mẹ, người nuôi dưỡng, thầy cô giáo",Điểm
D123_K1_De,"Điểm e: Giết người liền trước/sau đó thực hiện tội phạm rất/đặc biệt nghiêm trọng",Điểm
D123_K1_Dg,"Điểm g: Để thực hiện hoặc che giấu tội phạm khác",Điểm
D123_K1_Dh,"Điểm h: Để lấy bộ phận cơ thể của nạn nhân",Điểm
D123_K1_Di,"Điểm i: Thực hiện tội phạm một cách man rợ",Điểm
D123_K1_Dk,"Điểm k: Bằng cách lợi dụng nghề nghiệp",Điểm
D123_K1_Dl,"Điểm l: Bằng phương pháp có khả năng làm chết nhiều người",Điểm
D123_K1_Dm,"Điểm m: Thuê giết người hoặc giết người thuê",Điểm
D123_K1_Dn,"Điểm n: Có tính chất côn đồ",Điểm
D123_K1_Do,"Điểm o: Có tổ chức",Điểm
D123_K1_Dp,"Điểm p: Tái phạm nguy hiểm",Điểm
D123_K1_Dq,"Điểm q: Vì động cơ đê hèn",Điểm
D123_K1_HP,"Phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình",Hình phạt
D123_K2,"Khoản 2 Điều 123",Khoản
D123_K2_HV,"Phạm tội không thuộc các trường hợp quy định tại khoản 1",Hành vi chính
D123_K2_HP,"Phạt tù từ 07 năm đến 15 năm",Hình phạt
D123_K3,"Khoản 3 Điều 123",Khoản
D123_K3_HV,"Người chuẩn bị phạm tội",Hành vi chính
D123_K3_HP,"Phạt tù từ 01 năm đến 05 năm",Hình phạt
D123_K4,"Khoản 4 Điều 123",Khoản
D123_K4_HV,"Người phạm tội giết người",Hành vi chính
D123_K4_HP,"Cấm hành nghề/công việc 01-05 năm, phạt quản chế hoặc cấm cư trú 01-05 năm",Hình phạt
D124,"Điều 124: Tội giết hoặc vứt bỏ con mới đẻ",Điều
D124_K1,"Khoản 1 Điều 124",Khoản
D124_K1_HV,"Người mẹ giết con do mình đẻ ra trong 07 ngày tuổi do tư tưởng lạc hậu/hoàn cảnh",Hành vi chính
D124_K1_HP,"Phạt tù từ 06 tháng đến 03 năm",Hình phạt
D124_K2,"Khoản 2 Điều 124",Khoản
D124_K2_HV,"Người mẹ vứt bỏ con đẻ trong 07 ngày tuổi dẫn đến hậu quả trẻ chết",Hành vi chính
D124_K2_HP,"Phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm",Hình phạt
D125,"Điều 125: Tội giết người trong trạng thái tinh thần bị kích động mạnh",Điều
D125_K1,"Khoản 1 Điều 125",Khoản
D125_K1_HV,"Giết người trong trạng thái kích động mạnh do hành vi trái pháp luật nghiêm trọng của nạn nhân",Hành vi chính
D125_K1_HP,"Phạt tù từ 06 tháng đến 03 năm",Hình phạt
D125_K2,"Khoản 2 Điều 125",Khoản
D125_K2_HV,"Phạm tội đối với 02 người trở lên",Hành vi chính
D125_K2_HP,"Phạt tù từ 03 năm đến 07 năm",Hình phạt
D126,"Điều 126: Tội giết người do vượt quá phòng vệ hoặc bắt người",Điều
D126_K1,"Khoản 1 Điều 126",Khoản
D126_K1_HV,"Giết người vượt quá phòng vệ chính đáng hoặc mức cần thiết khi bắt người phạm tội",Hành vi chính
D126_K1_HP,"Cải tạo không giam giữ đến 02 năm hoặc phạt tù 03 tháng đến 02 năm",Hình phạt
D126_K2,"Khoản 2 Điều 126",Khoản
D126_K2_HV,"Phạm tội đối với 02 người trở lên",Hành vi chính
D126_K2_HP,"Phạt tù từ 02 năm đến 05 năm",Hình phạt
D127,"Điều 127: Tội làm chết người trong khi thi hành công vụ",Điều
D127_K1,"Khoản 1 Điều 127",Khoản
D127_K1_HV,"Làm chết người do dùng vũ lực ngoài trường hợp cho phép khi thi hành công vụ",Hành vi chính
D127_K1_HP,"Phạt tù từ 05 năm đến 10 năm",Hình phạt
D127_K2,"Khoản 2 Điều 127",Khoản
D127_K2_HV,"Phạm tội thuộc trường hợp tăng nặng",Hành vi chính
D127_K2_OR,"Thuộc một trong các trường hợp sau (OR)",Node Logic OR
D127_K2_Da,"Điểm a: Làm chết 02 người trở lên",Điểm
D127_K2_Db,"Điểm b: Đối với người dưới 16 tuổi, phụ nữ biết là có thai",Điểm
D127_K2_HP,"Phạt tù từ 08 năm đến 15 năm",Hình phạt
D127_K3,"Khoản 3 Điều 127",Khoản
D127_K3_HV,"Người phạm tội làm chết người khi thi hành công vụ",Hành vi chính
D127_K3_HP,"Cấm đảm nhiệm chức vụ, hành nghề 01-05 năm",Hình phạt
D128,"Điều 128: Tội vô ý làm chết người",Điều
D128_K1,"Khoản 1 Điều 128",Khoản
D128_K1_HV,"Vô ý làm chết người",Hành vi chính
D128_K1_HP,"Cải tạo không giam giữ đến 03 năm hoặc phạt tù 01-05 năm",Hình phạt
D128_K2,"Khoản 2 Điều 128",Khoản
D128_K2_HV,"Làm chết 02 người trở lên",Hành vi chính
D128_K2_HP,"Phạt tù từ 03 năm đến 10 năm",Hình phạt
D129,"Điều 129: Tội vô ý làm chết người do vi phạm quy tắc",Điều
D129_K1,"Khoản 1 Điều 129",Khoản
D129_K1_HV,"Vô ý làm chết người do vi phạm quy tắc nghề nghiệp/hành chính",Hành vi chính
D129_K1_HP,"Phạt tù từ 01 năm đến 05 năm",Hình phạt
D129_K2,"Khoản 2 Điều 129",Khoản
D129_K2_HV,"Làm chết 02 người trở lên",Hành vi chính
D129_K2_HP,"Phạt tù từ 05 năm đến 12 năm",Hình phạt
D129_K3,"Khoản 3 Điều 129",Khoản
D129_K3_HV,"Người phạm tội vi phạm quy tắc",Hành vi chính
D129_K3_HP,"Cấm đảm nhiệm chức vụ, hành nghề 01-05 năm",Hình phạt
D130,"Điều 130: Tội bức tử",Điều
D130_K1,"Khoản 1 Điều 130",Khoản
D130_K1_HV,"Đối xử tàn ác, ức hiếp, ngược đãi người lệ thuộc làm họ tự sát",Hành vi chính
D130_K1_HP,"Phạt tù từ 02 năm đến 07 năm",Hình phạt
