ID,Name,Label
C18,"Chương XVIII: Các tội xâm phạm trật tự quản lý kinh tế",Chương
D188,"Điều 188: Tội buôn lậu",Điều
D188_K1,"Khoản 1 Điều 188",Khoản
D188_K1_HV,"Buôn bán qua biên giới hàng hóa, tiền tệ... 100tr đến dưới 300tr hoặc dưới 100tr nhưng thuộc các trường hợp",Hành vi chính
D188_K1_OR,"Thuộc một trong các trường hợp sau (OR)",Node Logic OR
D188_K1_Da,"Điểm a: Đã bị xử phạt VPHC hoặc đã bị kết án chưa được xóa án tích",Điểm
D188_K1_Db,"Điểm b: Vật phạm pháp là di vật, cổ vật",Điểm
D188_K1_HP,"Phạt tiền từ 50-300 triệu hoặc phạt tù từ 06 tháng đến 03 năm",Hình phạt
D188_K2,"Khoản 2 Điều 188",Khoản
D188_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D188_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D188_K2_Da,"Điểm a: Có tổ chức",Điểm
D188_K2_Db,"Điểm b: Có tính chất chuyên nghiệp",Điểm
D188_K2_Dc,"Điểm c: Vật phạm pháp trị giá 300tr đến dưới 500tr",Điểm
D188_K2_Dd,"Điểm d: Thu lợi bất chính 100tr đến dưới 500tr",Điểm
D188_K2_Dđ,"Điểm đ: Vật phạm pháp là bảo vật quốc gia",Điểm
D188_K2_De,"Điểm e: Lợi dụng chức vụ, quyền hạn",Điểm
D188_K2_Dg,"Điểm g: Lợi dụng danh nghĩa cơ quan, tổ chức",Điểm
D188_K2_Dh,"Điểm h: Phạm tội 02 lần trở lên",Điểm
D188_K2_Di,"Điểm i: Tái phạm nguy hiểm",Điểm
D188_K2_HP,"Phạt tiền 300tr-1.5 tỷ hoặc phạt tù 03-07 năm",Hình phạt
D188_K3,"Khoản 3 Điều 188",Khoản
D188_K3_HV,"Phạm tội thuộc trường hợp khoản 3",Hành vi chính
D188_K3_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D188_K3_Da,"Điểm a: Vật phạm pháp 500tr đến dưới 1 tỷ",Điểm
D188_K3_Db,"Điểm b: Thu lợi bất chính 500tr đến dưới 1 tỷ",Điểm
D188_K3_HP,"Phạt tiền 1.5 tỷ-5 tỷ hoặc phạt tù 07-15 năm",Hình phạt
D188_K4,"Khoản 4 Điều 188",Khoản
D188_K4_HV,"Phạm tội thuộc trường hợp khoản 4",Hành vi chính
D188_K4_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D188_K4_Da,"Điểm a: Vật phạm pháp 1 tỷ trở lên",Điểm
D188_K4_Db,"Điểm b: Thu lợi bất chính 1 tỷ trở lên",Điểm
D188_K4_Dc,"Điểm c: Lợi dụng chiến tranh, thiên tai, dịch bệnh...",Điểm
D188_K4_HP,"Phạt tù từ 12 năm đến 20 năm",Hình phạt
D188_K5,"Khoản 5 Điều 188",Khoản
D188_K5_HV,"Người phạm tội",Hành vi chính
D188_K5_HP,"Phạt 20-100 triệu, cấm đảm nhiệm/hành nghề 01-05 năm, tịch thu tài sản",Hình phạt
D188_K6,"Khoản 6 Điều 188",Khoản
D188_K6_HV,"Pháp nhân thương mại phạm tội",Hành vi chính
D188_K6_OR_a,"Điều kiện điểm a (OR)",Node Logic OR
D188_K6_Da,"Điểm a: Hành vi khoản 1 với giá trị 200tr-300tr hoặc dưới 200tr là di vật cổ vật hoặc tái phạm",Điểm
D188_K6_HP_a,"Phạt tiền từ 300 triệu đến 1 tỷ đồng",Hình phạt
D188_K6_OR_b,"Điều kiện điểm b (OR)",Node Logic OR
D188_K6_Db,"Điểm b: Phạm tội thuộc điểm a, b, c, d, đ, h, i khoản 2",Điểm
D188_K6_HP_b,"Phạt tiền từ 1 tỷ đến 3 tỷ đồng",Hình phạt
D188_K6_OR_c,"Điều kiện điểm c (OR)",Node Logic OR
D188_K6_Dc,"Điểm c: Phạm tội thuộc khoản 3",Điểm
D188_K6_HP_c,"Phạt tiền từ 3 tỷ đến 7 tỷ đồng",Hình phạt
D188_K6_OR_d,"Điều kiện điểm d (OR)",Node Logic OR
D188_K6_Dd,"Điểm d: Phạm tội thuộc khoản 4",Điểm
D188_K6_HP_d,"Phạt tiền từ 7 tỷ đến 15 tỷ hoặc đình chỉ hoạt động 06 tháng - 03 năm",Hình phạt
D188_K6_OR_đ,"Điều kiện điểm đ (OR)",Node Logic OR
D188_K6_Dđ,"Điểm đ: Phạm tội thuộc Điều 79",Điểm
D188_K6_HP_đ,"Đình chỉ hoạt động vĩnh viễn",Hình phạt
D188_K6_OR_e,"Hình phạt bổ sung pháp nhân (OR)",Node Logic OR
D188_K6_De,"Điểm e: Hình phạt bổ sung",Điểm
D188_K6_HP_e,"Phạt 50-300 triệu, cấm kinh doanh/hoạt động/huy động vốn 01-03 năm",Hình phạt
D189,"Điều 189: Tội vận chuyển trái phép hàng hóa, tiền tệ qua biên giới",Điều
D189_K1,"Khoản 1 Điều 189",Khoản
D189_K1_HV,"Vận chuyển qua biên giới 100tr-300tr hoặc dưới 100tr có điều kiện",Hành vi chính
D189_K1_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D189_K1_Da,"Điểm a: Đã bị xử phạt VPHC hoặc kết án chưa xóa án tích",Điểm
D189_K1_Db,"Điểm b: Vật phạm pháp là di vật, cổ vật",Điểm
D189_K1_HP,"Phạt tiền 20-200tr, cải tạo KGG đến 02 năm hoặc tù 03 tháng-02 năm",Hình phạt
D189_K2,"Khoản 2 Điều 189",Khoản
D189_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D189_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D189_K2_Da,"Điểm a: Có tổ chức",Điểm
D189_K2_Db,"Điểm b: Vật phạm pháp 300tr đến dưới 500tr",Điểm
D189_K2_Dc,"Điểm c: Vật phạm pháp là bảo vật quốc gia",Điểm
D189_K2_Dd,"Điểm d: Lợi dụng chức vụ, quyền hạn",Điểm
D189_K2_Dđ,"Điểm đ: Lợi dụng danh nghĩa cơ quan, tổ chức",Điểm
D189_K2_De,"Điểm e: Phạm tội 02 lần trở lên",Điểm
D189_K2_Dg,"Điểm g: Tái phạm nguy hiểm",Điểm
D189_K2_HP,"Phạt tiền 200tr-1 tỷ hoặc phạt tù 02-05 năm",Hình phạt
D189_K3,"Khoản 3 Điều 189",Khoản
D189_K3_HV,"Vật phạm pháp trị giá 500 triệu trở lên",Hành vi chính
D189_K3_HP,"Phạt tiền 1 tỷ-3 tỷ hoặc phạt tù 05-10 năm",Hình phạt
D189_K4,"Khoản 4 Điều 189",Khoản
D189_K4_HV,"Người phạm tội",Hành vi chính
D189_K4_HP,"Phạt 10-50 triệu, cấm đảm nhiệm/hành nghề 01-05 năm",Hình phạt
D189_K5,"Khoản 5 Điều 189",Khoản
D189_K5_HV,"Pháp nhân thương mại phạm tội",Hành vi chính
D189_K5_OR_a,"Điều kiện điểm a (OR)",Node Logic OR
D189_K5_Da,"Điểm a: Hành vi khoản 1 với giá trị 200-300tr hoặc dưới 200tr là di vật cổ vật hoặc tái phạm",Điểm
D189_K5_HP_a,"Phạt tiền 200-500 triệu",Hình phạt
D189_K5_OR_b,"Điều kiện điểm b (OR)",Node Logic OR
D189_K5_Db,"Điểm b: Phạm tội thuộc điểm a, b, c, e, g khoản 2",Điểm
D189_K5_HP_b,"Phạt tiền 500 triệu - 2 tỷ",Hình phạt
D189_K5_OR_c,"Điều kiện điểm c (OR)",Node Logic OR
D189_K5_Dc,"Điểm c: Phạm tội thuộc khoản 3",Điểm
D189_K5_HP_c,"Phạt tiền 2 tỷ - 5 tỷ hoặc đình chỉ hoạt động 06 tháng - 03 năm",Hình phạt
D189_K5_OR_d,"Điều kiện điểm d (OR)",Node Logic OR
D189_K5_Dd,"Điểm d: Phạm tội thuộc Điều 79",Điểm
D189_K5_HP_d,"Đình chỉ hoạt động vĩnh viễn",Hình phạt
D189_K5_OR_đ,"Hình phạt bổ sung pháp nhân (OR)",Node Logic OR
D189_K5_Dđ,"Điểm đ: Hình phạt bổ sung",Điểm
D189_K5_HP_đ,"Phạt 50-200 triệu, cấm kinh doanh/huy động vốn 01-03 năm",Hình phạt
D190,"Điều 190: Tội sản xuất, buôn bán hàng cấm",Điều
D190_K1,"Khoản 1 Điều 190",Khoản
D190_K1_HV,"Sản xuất, buôn bán hàng cấm",Hành vi chính
D190_K1_OR,"Thực hiện một trong các hành vi (OR)",Node Logic OR
D190_K1_Da,"Điểm a: Thuốc BVTV cấm 50-100kg hoặc 50-100 lít",Điểm
D190_K1_Db,"Điểm b: Thuốc lá lậu 1.500-3.000 bao",Điểm
D190_K1_Dc,"Điểm c: Pháo nổ 06-40kg",Điểm
D190_K1_Dd,"Điểm d: Hàng hóa khác 100-300tr hoặc thu lợi 50-200tr",Điểm
D190_K1_Dđ,"Điểm đ: Hàng chưa được lưu hành 200-500tr hoặc thu lợi 100-300tr",Điểm
D190_K1_De,"Điểm e: Dưới mức quy định nhưng đã bị xử phạt/kết án",Điểm
D190_K1_HP,"Phạt tiền 100tr-1 tỷ hoặc phạt tù 01-05 năm",Hình phạt
D190_K2,"Khoản 2 Điều 190",Khoản
D190_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D190_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D190_K2_Da,"Điểm a: Có tổ chức",Điểm
D190_K2_Db,"Điểm b: Lợi dụng chức vụ, quyền hạn",Điểm
