ID,Name,Label
C18,"Chương XVIII: Các tội xâm phạm trật tự quản lý kinh tế",Chương
D200,"Điều 200: Tội trốn thuế",Điều
D200_K1,"Khoản 1 Điều 200",Khoản
D200_K1_HV,"Trốn thuế 100-300tr hoặc dưới 100tr nhưng đã bị xử phạt/kết án",Hành vi chính
D200_K1_OR,"Thực hiện một trong các hành vi sau (OR)",Node Logic OR
D200_K1_Da,"Điểm a: Không nộp hồ sơ đăng ký thuế; không nộp hồ sơ khai thuế...",Điểm
D200_K1_Db,"Điểm b: Không ghi chép trong sổ kế toán các khoản thu...",Điểm
D200_K1_Dc,"Điểm c: Không xuất hóa đơn khi bán hàng hóa, dịch vụ...",Điểm
D200_K1_Dd,"Điểm d: Sử dụng hóa đơn, chứng từ không hợp pháp để hạch toán...",Điểm
D200_K1_Dđ,"Điểm đ: Sử dụng chứng từ, tài liệu không hợp pháp khác...",Điểm
D200_K1_De,"Điểm e: Khai sai với thực tế hàng hóa xuất khẩu, nhập khẩu...",Điểm
D200_K1_Dg,"Điểm g: Cố ý không kê khai hoặc khai sai về thuế...",Điểm
D200_K1_Dh,"Điểm h: Câu kết với người gửi hàng để nhập khẩu hàng hóa...",Điểm
D200_K1_Di,"Điểm i: Sử dụng hàng hóa không chịu thuế, miễn thuế sai mục đích...",Điểm
D200_K1_HP,"Phạt tiền từ 100-500 triệu hoặc phạt tù từ 03 tháng đến 01 năm",Hình phạt
D200_K2,"Khoản 2 Điều 200",Khoản
D200_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D200_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D200_K2_Da,"Điểm a: Có tổ chức",Điểm
D200_K2_Db,"Điểm b: Số tiền trốn thuế từ 300tr đến dưới 1 tỷ",Điểm
D200_K2_Dc,"Điểm c: Lợi dụng chức vụ, quyền hạn",Điểm
D200_K2_Dd,"Điểm d: Phạm tội 02 lần trở lên",Điểm
D200_K2_Dđ,"Điểm đ: Tái phạm nguy hiểm",Điểm
D200_K2_HP,"Phạt tiền từ 500tr-1.5 tỷ hoặc phạt tù 01-03 năm",Hình phạt
D200_K3,"Khoản 3 Điều 200",Khoản
D200_K3_HV,"Trốn thuế với số tiền 1 tỷ trở lên",Hành vi chính
D200_K3_HP,"Phạt tiền từ 1.5 tỷ-4.5 tỷ hoặc phạt tù 02-07 năm",Hình phạt
D200_K4,"Khoản 4 Điều 200",Khoản
D200_K4_HV,"Người phạm tội",Hành vi chính
D200_K4_HP,"Phạt 20-100 triệu, cấm đảm nhiệm/hành nghề 01-05 năm, tịch thu tài sản",Hình phạt
D200_K5,"Khoản 5 Điều 200",Khoản
D200_K5_HV,"Pháp nhân thương mại phạm tội",Hành vi chính
D200_K5_OR_a,"Điều kiện điểm a (OR)",Node Logic OR
D200_K5_Da,"Điểm a: Phạm tội thuộc khoản 1 giá trị 200-300tr hoặc 100-200tr nhưng bị xử phạt/kết án",Điểm
D200_K5_HP_a,"Phạt tiền 300 triệu - 1 tỷ",Hình phạt
D200_K5_OR_b,"Điều kiện điểm b (OR)",Node Logic OR
D200_K5_Db,"Điểm b: Phạm tội thuộc điểm a, b, d, đ khoản 2",Điểm
D200_K5_HP_b,"Phạt tiền 1 tỷ - 3 tỷ",Hình phạt
D200_K5_OR_c,"Điều kiện điểm c (OR)",Node Logic OR
D200_K5_Dc,"Điểm c: Phạm tội thuộc khoản 3",Điểm
D200_K5_HP_c,"Phạt tiền 3 tỷ - 10 tỷ hoặc đình chỉ hoạt động 06 tháng - 03 năm",Hình phạt
D200_K5_OR_d,"Điều kiện điểm d (OR)",Node Logic OR
D200_K5_Dd,"Điểm d: Phạm tội thuộc Điều 79",Điểm
D200_K5_HP_d,"Đình chỉ hoạt động vĩnh viễn",Hình phạt
D200_K5_OR_đ,"Hình phạt bổ sung pháp nhân (OR)",Node Logic OR
D200_K5_Dđ,"Điểm đ: Hình phạt bổ sung",Điểm
D200_K5_HP_đ,"Phạt 50-200 triệu, cấm kinh doanh/hoạt động/huy động vốn 01-03 năm",Hình phạt
D201,"Điều 201: Tội cho vay lãi nặng trong giao dịch dân sự",Điều
D201_K1,"Khoản 1 Điều 201",Khoản
D201_K1_HV,"Cho vay lãi suất gấp 05 lần trở lên, thu lợi bất chính 30-100tr hoặc đã bị xử phạt/kết án",Hành vi chính
D201_K1_HP,"Phạt tiền 50-200 triệu hoặc cải tạo KGG đến 03 năm",Hình phạt
D201_K2,"Khoản 2 Điều 201",Khoản
D201_K2_HV,"Thu lợi bất chính 100 triệu trở lên",Hành vi chính
D201_K2_HP,"Phạt tiền 200tr-1 tỷ hoặc phạt tù 06 tháng - 03 năm",Hình phạt
D201_K3,"Khoản 3 Điều 201",Khoản
D201_K3_HV,"Người phạm tội",Hành vi chính
D201_K3_HP,"Phạt 30-100 triệu, cấm đảm nhiệm/hành nghề 01-05 năm",Hình phạt
D202,"Điều 202: Tội làm, buôn bán tem giả, vé giả",Điều
D202_K1,"Khoản 1 Điều 202",Khoản
D202_K1_HV,"Làm, buôn bán tem giả, vé giả thuộc các trường hợp khoản 1",Hành vi chính
D202_K1_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D202_K1_Da,"Điểm a: Không mệnh giá từ 15.000 đến dưới 30.000 đơn vị",Điểm
D202_K1_Db,"Điểm b: Có mệnh giá tổng trị giá 50-200tr",Điểm
D202_K1_Dc,"Điểm c: Đã bị xử phạt VPHC hoặc kết án chưa xóa án",Điểm
D202_K1_Dd,"Điểm d: Thu lợi bất chính 30-100tr",Điểm
D202_K1_HP,"Phạt tiền 30-100 triệu, cải tạo KGG đến 03 năm hoặc phạt tù 06 tháng - 03 năm",Hình phạt
D202_K2,"Khoản 2 Điều 202",Khoản
D202_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D202_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D202_K2_Da,"Điểm a: Có tổ chức",Điểm
D202_K2_Db,"Điểm b: Lợi dụng chức vụ, quyền hạn",Điểm
D202_K2_Dc,"Điểm c: Không mệnh giá 30.000 đơn vị trở lên",Điểm
D202_K2_Dd,"Điểm d: Có mệnh giá tổng trị giá 200tr trở lên",Điểm
D202_K2_Dđ,"Điểm đ: Thu lợi bất chính 100tr trở lên",Điểm
D202_K2_De,"Điểm e: Tái phạm nguy hiểm",Điểm
D202_K2_HP,"Phạt tiền 100-500 triệu hoặc phạt tù 02-07 năm",Hình phạt
D202_K3,"Khoản 3 Điều 202",Khoản
D202_K3_HV,"Người phạm tội",Hành vi chính
D202_K3_HP,"Phạt 5-50 triệu, cấm đảm nhiệm/hành nghề 01-05 năm",Hình phạt
D203,"Điều 203: Tội in, phát hành, mua bán trái phép hóa đơn, chứng từ",Điều
D203_K1,"Khoản 1 Điều 203",Khoản
D203_K1_HV,"In, phát hành hóa đơn phôi 50-100 số, hoặc đã ghi 10-30 số, hoặc thu lợi 30-100tr",Hành vi chính
D203_K1_HP,"Phạt tiền 50-200 triệu, cải tạo KGG đến 03 năm hoặc phạt tù 06 tháng - 03 năm",Hình phạt
D203_K2,"Khoản 2 Điều 203",Khoản
D203_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D203_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D203_K2_Da,"Điểm a: Có tổ chức",Điểm
D203_K2_Db,"Điểm b: Có tính chất chuyên nghiệp",Điểm
D203_K2_Dc,"Điểm c: Lợi dụng chức vụ, quyền hạn",Điểm
D203_K2_Dd,"Điểm d: Phôi 100 số trở lên hoặc đã ghi 30 số trở lên",Điểm
D203_K2_Dđ,"Điểm đ: Thu lợi bất chính 100tr trở lên",Điểm
D203_K2_De,"Điểm e: Gây thiệt hại NSNN 100tr trở lên",Điểm
D203_K2_Dg,"Điểm g: Tái phạm nguy hiểm",Điểm
D203_K2_HP,"Phạt tiền 200-500 triệu hoặc phạt tù 01-05 năm",Hình phạt
D203_K3,"Khoản 3 Điều 203",Khoản
D203_K3_HV,"Người phạm tội",Hành vi chính
D203_K3_HP,"Phạt 10-50 triệu, cấm đảm nhiệm/hành nghề 01-05 năm",Hình phạt
D203_K4,"Khoản 4 Điều 203",Khoản
D203_K4_HV,"Pháp nhân thương mại phạm tội",Hành vi chính
