ID,Name,Label
C15,"Chương XV: Các tội xâm phạm quyền tự do của con người, quyền tự do, dân chủ của công dân",Chương
D157,"Điều 157: Tội bắt, giữ hoặc giam người trái pháp luật",Điều
D157_K1,"Khoản 1 Điều 157",Khoản
D157_K1_HV,"Người nào bắt, giữ hoặc giam người trái pháp luật (không thuộc Đ153, Đ377)",Hành vi chính
D157_K1_HP,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm",Hình phạt
D157_K2,"Khoản 2 Điều 157",Khoản
D157_K2_HV,"Phạm tội thuộc trường hợp khoản 2",Hành vi chính
D157_K2_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D157_K2_Da,"Điểm a: Có tổ chức",Điểm
D157_K2_Db,"Điểm b: Lợi dụng chức vụ, quyền hạn",Điểm
D157_K2_Dc,"Điểm c: Đối với người đang thi hành công vụ",Điểm
D157_K2_Dd,"Điểm d: Phạm tội 02 lần trở lên",Điểm
D157_K2_Dđ,"Điểm đ: Đối với 02 người trở lên",Điểm
D157_K2_De,"Điểm e: Đối với người dưới 18, phụ nữ có thai, người già yếu...",Điểm
D157_K2_Dg,"Điểm g: Làm kinh tế gia đình họ đặc biệt khó khăn",Điểm
D157_K2_Dh,"Điểm h: Gây thương tích/tâm thần 31-60%",Điểm
D157_K2_HP,"Phạt tù từ 02 năm đến 07 năm",Hình phạt
D157_K3,"Khoản 3 Điều 157",Khoản
D157_K3_HV,"Phạm tội thuộc trường hợp khoản 3",Hành vi chính
D157_K3_OR,"Thuộc một trong các trường hợp (OR)",Node Logic OR
D157_K3_Da,"Điểm a: Làm người bị bắt, giữ, giam chết hoặc tự sát",Điểm
D157_K3_Db,"Điểm b: Tra tấn, đối xử tàn bạo, vô nhân đạo...",Điểm
D157_K3_Dc,"Điểm c: Gây thương tích/tâm thần 61% trở lên",Điểm
D157_K3_HP,"Phạt tù từ 05 năm đến 12 năm",Hình phạt
D157_K4,"Khoản 4 Điều 157",Khoản
D157_K4_HV,"Người phạm tội",Hành vi chính
D157_K4_HP,"Cấm đảm nhiệm chức vụ nhất định từ 01 năm đến 05 năm",Hình phạt
D158,"Điều 158: Tội xâm phạm chỗ ở của người khác",Điều
D158_K1,"Khoản 1 Điều 158",Khoản
D158_K1_HV,"Thực hiện hành vi xâm phạm chỗ ở",Hành vi chính
D158_K1_OR,"Thực hiện một trong các hành vi (OR)",Node Logic OR
D158_K1_Da,"Điểm a: Khám xét trái pháp luật chỗ ở",Điểm
D158_K1_Db,"Điểm b: Đuổi trái pháp luật người khác ra khỏi chỗ ở",Điểm
D158_K1_Dc,"Điểm c: Chiếm giữ hoặc cản trở trái pháp luật...",Điểm
D158_K1_Dd,"Điểm d: Xâm nhập trái pháp luật chỗ ở",Điểm
