ID,Name,Label
C21,"Chương XXI: CÁC TỘI XÂM PHẠM AN TOÀN CÔNG CỘNG, TRẬT TỰ CÔNG CỘNG",Chương
D260,"Điều 260. Tội vi phạm quy định về tham gia giao thông đường bộ",Điều
K1_260,"Khoản 1 Điều 260",Khoản
HV1_260,"Tham gia giao thông đường bộ vi phạm quy định an toàn giao thông đường bộ gây thiệt hại",Hành vi chính
OR1_260,"Thuộc một trong các trường hợp Khoản 1 Điều 260",Node Logic OR
P1A_260,"Điểm a: Làm chết người",Điểm
P1B_260,"Điểm b: Gây thương tích hoặc gây tổn hại cho sức khỏe của 01 người mà tỷ lệ tổn thương cơ thể 61% trở lên",Điểm
P1C_260,"Điểm c: Gây thương tích hoặc gây tổn hại sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương 61% đến 121%",Điểm
P1D_260,"Điểm d: Gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng",Điểm
HP1_260,"Phạt tiền từ 30-100 triệu đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01-05 năm",Hình phạt
K2_260,"Khoản 2 Điều 260",Khoản
HV2_260,"Phạm tội vi phạm quy định về tham gia giao thông đường bộ",Hành vi chính
OR2_260,"Thuộc một trong các trường hợp Khoản 2 Điều 260",Node Logic OR
P2A_260,"Điểm a: Không có giấy phép lái xe theo quy định",Điểm
P2B_260,"Điểm b: Sử dụng rượu, bia vượt mức, ma túy hoặc chất kích thích mạnh",Điểm
P2C_260,"Điểm c: Bỏ chạy để trốn tránh trách nhiệm hoặc cố ý không cứu giúp người bị nạn",Điểm
P2D_260,"Điểm d: Không chấp hành hiệu lệnh của người điều khiển hoặc hướng dẫn giao thông",Điểm
P2DD_260,"Điểm đ: Làm chết 02 người",Điểm
P2E_260,"Điểm e: Gây thương tích hoặc tổn hại sức khỏe 02 người trở lên tổng tỷ lệ 122% đến 200%",Điểm
P2G_260,"Điểm g: Gây thiệt hại về tài sản từ 500 triệu đến dưới 1.5 tỷ đồng",Điểm
HP2_260,"Phạt tù từ 03 năm đến 10 năm",Hình phạt
K3_260,"Khoản 3 Điều 260",Khoản
HV3_260,"Phạm tội vi phạm quy định về tham gia giao thông đường bộ",Hành vi chính
OR3_260,"Thuộc một trong các trường hợp Khoản 3 Điều 260",Node Logic OR
P3A_260,"Điểm a: Làm chết 03 người trở lên",Điểm
P3B_260,"Điểm b: Gây thương tích hoặc tổn hại sức khỏe 03 người trở lên tổng tỷ lệ 201% trở lên",Điểm
P3C_260,"Điểm c: Gây thiệt hại về tài sản 1.5 tỷ đồng trở lên",Điểm
HP3_260,"Phạt tù từ 07 năm đến 15 năm",Hình phạt
K4_260,"Khoản 4 Điều 260",Khoản
HV4_260,"Vi phạm quy định giao thông có khả năng thực tế dẫn đến hậu quả nếu không ngăn chặn kịp thời",Hành vi chính
OR4_260,"Một trong các điểm a, b, c Khoản 3 Điều 260",Node Logic OR
HP4_260,"Phạt tiền từ 10-50 triệu đồng, cải tạo không giam giữ đến 01 năm hoặc phạt tù 03 tháng đến 01 năm",Hình phạt
K5_260,"Khoản 5 Điều 260",Khoản
HV5_260,"Người phạm tội vi phạm quy định giao thông đường bộ",Hành vi chính
HP5_260,"Cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm",Hình phạt
D261,"Điều 261. Tội cản trở giao thông đường bộ",Điều
K1_261,"Khoản 1 Điều 261",Khoản
