ID,Name,Label
CH22,"Chương XXII: CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ HÀNH CHÍNH",Chương
D330,"Điều 330. Tội chống người thi hành công vụ",Điều
K1_D330,"Khoản 1 Điều 330",Khoản
HV_K1_D330,"Người nào dùng vũ lực, đe dọa dùng vũ lực hoặc dùng thủ đoạn khác cản trở người thi hành công vụ thực hiện công vụ của họ hoặc ép buộc họ thực hiện hành vi trái pháp luật","Hành vi chính"
HP_K1_D330,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm","Hình phạt"
K2_D330,"Khoản 2 Điều 330",Khoản
OR_K2_D330,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D330,"a) Có tổ chức",Điểm
P_b_K2_D330,"b) Phạm tội 02 lần trở lên",Điểm
P_c_K2_D330,"c) Xúi giục, lôi kéo, kích động người khác phạm tội",Điểm
P_d_K2_D330,"d) Gây thiệt hại về tài sản 50.000.000 đồng trở lên",Điểm
P_dd_K2_D330,"đ) Tái phạm nguy hiểm",Điểm
HP_K2_D330,"Phạt tù từ 02 năm đến 07 năm","Hình phạt"
D331,"Điều 331. Tội lợi dụng các quyền tự do dân chủ xâm phạm lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, cá nhân",Điều
K1_D331,"Khoản 1 Điều 331",Khoản
HV_K1_D331,"Người nào lợi dụng các quyền tự do ngôn luận, tự do báo chí, tự do tín ngưỡng, tôn giáo, tự do hội họp, lập hội và các quyền tự do dân chủ khác xâm phạm lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, cá nhân","Hành vi chính"
HP_K1_D331,"Phạt cảnh cáo, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm","Hình phạt"
K2_D331,"Khoản 2 Điều 331",Khoản
HV_K2_D331,"Phạm tội gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội","Hành vi chính"
HP_K2_D331,"Phạt tù từ 02 năm đến 07 năm","Hình phạt"
D332,"Điều 332. Tội trốn tránh nghĩa vụ quân sự",Điều
K1_D332,"Khoản 1 Điều 332",Khoản
HV_K1_D332,"Người nào không chấp hành đúng quy định của pháp luật về đăng ký nghĩa vụ quân sự, không chấp hành lệnh gọi nhập ngũ, lệnh gọi tập trung huấn luyện, đã bị xử phạt vi phạm hành chính hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm","Hành vi chính"
HP_K1_D332,"Phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm","Hình phạt"
K2_D332,"Khoản 2 Điều 332",Khoản
OR_K2_D332,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D332,"a) Tự gây thương tích hoặc gây tổn hại cho sức khỏe của mình",Điểm
P_b_K2_D332,"b) Phạm tội trong thời chiến",Điểm
P_c_K2_D332,"c) Lôi kéo người khác phạm tội",Điểm
HP_K2_D332,"Phạt tù từ 01 năm đến 05 năm","Hình phạt"
D333,"Điều 333. Tội không chấp hành lệnh gọi quân nhân dự bị nhập ngũ",Điều
K1_D333,"Khoản 1 Điều 333",Khoản
HV_K1_D333,"Người nào là quân nhân dự bị mà không chấp hành lệnh gọi nhập ngũ trong trường hợp có lệnh tổng động viên, lệnh động viên cục bộ, có chiến tranh hoặc có nhu cầu tăng cường cho lực lượng thường trực","Hành vi chính"
HP_K1_D333,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm","Hình phạt"
