ID,Name,Label
CH23,"Chương XXIII: CÁC TỘI PHẠM VỀ CHỨC VỤ",Chương
D352,"Điều 352. Khái niệm tội phạm về chức vụ",Điều
K1_D352,"Khoản 1 Điều 352",Khoản
HV_K1_D352,"Các tội phạm về chức vụ là những hành vi xâm phạm hoạt động đúng đắn của cơ quan, tổ chức do người có chức vụ thực hiện trong khi thực hiện công vụ, nhiệm vụ","Hành vi chính"
K2_D352,"Khoản 2 Điều 352",Khoản
HV_K2_D352,"Người có chức vụ là người do bổ nhiệm, do bầu cử, do hợp đồng hoặc do một hình thức khác, có hưởng lương hoặc không hưởng lương, được giao thực hiện một nhiệm vụ nhất định và có quyền hạn nhất định trong khi thực hiện công vụ, nhiệm vụ","Hành vi chính"
D353,"Điều 353. Tội tham ô tài sản",Điều
K1_D353,"Khoản 1 Điều 353",Khoản
HV_K1_D353,"Người nào lợi dụng chức vụ, quyền hạn chiếm đoạt tài sản mà mình có trách nhiệm quản lý trị giá từ 2.000.000 đồng đến dưới 100.000.000 đồng hoặc dưới 2.000.000 đồng nhưng thuộc một trong các trường hợp sau đây","Hành vi chính"
OR_K1_D353,"Thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K1_D353,"a) Đã bị xử lý kỷ luật về hành vi này mà còn vi phạm",Điểm
P_b_K1_D353,"b) Đã bị kết án về một trong các tội quy định tại Mục 1 Chương này, chưa được xóa án tích mà còn vi phạm",Điểm
HP_K1_D353,"Phạt tù từ 02 năm đến 07 năm","Hình phạt"
K2_D353,"Khoản 2 Điều 353",Khoản
OR_K2_D353,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D353,"a) Có tổ chức",Điểm
P_b_K2_D353,"b) Dùng thủ đoạn xảo quyệt, nguy hiểm",Điểm
P_c_K2_D353,"c) Phạm tội 02 lần trở lên",Điểm
P_d_K2_D353,"d) Chiếm đoạt tài sản trị giá từ 100.000.000 đồng đến dưới 500.000.000 đồng",Điểm
P_dd_K2_D353,"đ) Chiếm đoạt tiền, tài sản dùng vào mục đích xóa đói, giảm nghèo; trợ cấp, ưu đãi người có công; quỹ dự phòng, tài sản trợ cấp vùng thiên tai, dịch bệnh hoặc kinh tế đặc biệt khó khăn",Điểm
P_e_K2_D353,"e) Gây thiệt hại về tài sản từ 1.000.000.000 đồng đến dưới 3.000.000.000 đồng",Điểm
P_g_K2_D353,"g) Ảnh hưởng xấu đến đời sống của cán bộ, công chức, viên chức và người lao động trong cơ quan, tổ chức",Điểm
HP_K2_D353,"Phạt tù từ 07 năm đến 15 năm","Hình phạt"
K3_D353,"Khoản 3 Điều 353",Khoản
OR_K3_D353,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K3_D353,"a) Chiếm đoạt tài sản trị giá từ 500.000.000 đồng đến dưới 1.000.000.000 đồng",Điểm
