ID,Name,Label
CH24,"Chương XXIV: CÁC TỘI XÂM PHẠM HOẠT ĐỘNG TƯ PHÁP",Chương
D367,"Điều 367. Khái niệm tội xâm phạm hoạt động tư pháp",Điều
K1_D367,"Khoản duy nhất Điều 367",Khoản
HV_K1_D367,"Các tội xâm phạm hoạt động tư pháp là những hành vi xâm phạm sự đúng đắn của hoạt động tố tụng và thi hành án","Hành vi chính"
D368,"Điều 368. Tội truy cứu trách nhiệm hình sự người không có tội",Điều
K1_D368,"Khoản 1 Điều 368",Khoản
HV_K1_D368,"Người nào có thẩm quyền mà truy cứu trách nhiệm hình sự người mà mình biết rõ là không có tội","Hành vi chính"
HP_K1_D368,"Phạt tù từ 01 năm đến 05 năm","Hình phạt"
K2_D368,"Khoản 2 Điều 368",Khoản
OR_K2_D368,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D368,"a) Truy cứu trách nhiệm hình sự về tội xâm phạm an ninh quốc gia hoặc tội khác là tội phạm đặc biệt nghiêm trọng",Điểm
P_b_K2_D368,"b) Đối với từ 02 người đến 05 người",Điểm
P_c_K2_D368,"c) Đối với người dưới 18 tuổi, phụ nữ mà biết là có thai, người già yếu",Điểm
P_d_K2_D368,"d) Gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%",Điểm
P_dd_K2_D368,"đ) Dẫn đến việc kết án oan người vô tội về tội phạm ít nghiêm trọng hoặc tội phạm nghiêm trọng",Điểm
P_e_K2_D368,"e) Gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội",Điểm
HP_K2_D368,"Phạt tù từ 05 năm đến 10 năm","Hình phạt"
K3_D368,"Khoản 3 Điều 368",Khoản
OR_K3_D368,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K3_D368,"a) Đối với 06 người trở lên",Điểm
P_b_K3_D368,"b) Dẫn đến việc kết án oan người vô tội về tội phạm rất nghiêm trọng hoặc tội phạm đặc biệt nghiêm trọng",Điểm
P_c_K3_D368,"c) Gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên",Điểm
P_d_K3_D368,"d) Làm người bị truy cứu trách nhiệm hình sự oan tự sát",Điểm
