ID,Name,Label
CH25,"Chương XXV: CÁC TỘI XÂM PHẠM NGHĨA VỤ, TRÁCH NHIỆM CỦA QUÂN NHÂN VÀ TRÁCH NHIỆM CỦA NGƯỜI PHỐI THUỘC VỚI QUÂN ĐỘI TRONG CHIẾN ĐẤU, PHỤC VỤ CHIẾN ĐẤU",Chương
D392,"Điều 392. Những người phải chịu trách nhiệm hình sự về các tội xâm phạm nghĩa vụ, trách nhiệm của quân nhân",Điều
K1_D392,"Khoản 1 Điều 392",Khoản
HV_K1_D392,"Quân nhân tại ngũ, công nhân, viên chức quốc phòng","Hành vi chính"
K2_D392,"Khoản 2 Điều 392",Khoản
HV_K2_D392,"Quân nhân dự bị trong thời gian tập trung huấn luyện","Hành vi chính"
K3_D392,"Khoản 3 Điều 392",Khoản
HV_K3_D392,"Dân quân, tự vệ trong thời gian phối thuộc với quân đội trong chiến đấu, phục vụ chiến đấu","Hành vi chính"
K4_D392,"Khoản 4 Điều 392",Khoản
HV_K4_D392,"Công dân được trưng tập vào phục vụ trong quân đội","Hành vi chính"
D393,"Điều 393. Tội ra mệnh lệnh trái pháp luật",Điều
K1_D393,"Khoản 1 Điều 393",Khoản
HV_K1_D393,"Người nào lợi dụng chức vụ, quyền hạn ra mệnh lệnh trái pháp luật gây hậu quả nghiêm trọng","Hành vi chính"
HP_K1_D393,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 05 năm","Hình phạt"
K2_D393,"Khoản 2 Điều 393",Khoản
OR_K2_D393,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D393,"a) Trong chiến đấu",Điểm
P_b_K2_D393,"b) Trong khu vực có chiến sự",Điểm
P_c_K2_D393,"c) Trong thực hiện nhiệm vụ cứu hộ, cứu nạn",Điểm
P_d_K2_D393,"d) Trong tình trạng khẩn cấp",Điểm
P_dd_K2_D393,"đ) Gây hậu quả rất nghiêm trọng",Điểm
HP_K2_D393,"Phạt tù từ 03 năm đến 10 năm","Hình phạt"
K3_D393,"Khoản 3 Điều 393",Khoản
HV_K3_D393,"Phạm tội gây hậu quả đặc biệt nghiêm trọng hoặc trong trường hợp đặc biệt nghiêm trọng khác","Hành vi chính"
HP_K3_D393,"Phạt tù từ 07 năm đến 15 năm","Hình phạt"
D394,"Điều 394. Tội chống mệnh lệnh",Điều
K1_D394,"Khoản 1 Điều 394",Khoản
