ID,Name,Label
CH26,"Chương XXVI: CÁC TỘI PHÁ HOẠI HÒA BÌNH, CHỐNG LOÀI NGƯỜI VÀ TỘI PHẠM CHIẾN TRANH",Chương
D421,"Điều 421. Tội phá hoại hòa bình, gây chiến tranh xâm lược",Điều
K1_D421,"Khoản 1 Điều 421",Khoản
HV_K1_D421,"Người nào tuyên truyền, kích động chiến tranh xâm lược hoặc chuẩn bị, tiến hành, tham gia chiến tranh xâm lược nhằm chống lại độc lập, chủ quyền và toàn vẹn lãnh thổ của một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền khác","Hành vi chính"
HP_K1_D421,"Phạt tù từ 12 năm đến 20 năm hoặc tù chung thân","Hình phạt"
K2_D421,"Khoản 2 Điều 421",Khoản
HV_K2_D421,"Phạm tội trong trường hợp do bị ép buộc hoặc do thi hành mệnh lệnh của cấp trên","Hành vi chính"
HP_K2_D421,"Phạt tù từ 10 năm đến 20 năm","Hình phạt"
D422,"Điều 422. Tội chống loài người",Điều
K1_D422,"Khoản 1 Điều 422",Khoản
HV_K1_D422,"Người nào trong thời bình hay trong chiến tranh mà thực hiện hành vi tiêu diệt hàng loạt dân cư của một khu vực, phá hủy nguồn sống, phá hoại cuộc sống văn hóa, tinh thần của một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền, làm đảo lộn nền tảng của một xã hội nhằm phá hoại xã hội đó hoặc thực hiện hành vi diệt chủng khác hoặc thực hiện hành vi diệt sinh, diệt môi trường tự nhiên","Hành vi chính"
HP_K1_D422,"Phạt tù từ 10 năm đến 20 năm, tù chung thân hoặc tử hình","Hình phạt"
K2_D422,"Khoản 2 Điều 422",Khoản
HV_K2_D422,"Phạm tội trong trường hợp do bị ép buộc hoặc do thi hành mệnh lệnh của cấp trên","Hành vi chính"
HP_K2_D422,"Phạt tù từ 10 năm đến 20 năm","Hình phạt"
D423,"Điều 423. Tội phạm chiến tranh",Điều
K1_D423,"Khoản 1 Điều 423",Khoản
HV_K1_D423,"Người nào trong thời kỳ chiến tranh mà ra lệnh hoặc trực tiếp tiến hành việc giết hại dân thường, người bị thương, tù binh, cướp phá tài sản, tàn phá các nơi dân cư, sử dụng các phương tiện hoặc phương pháp chiến tranh bị cấm hoặc thực hiện hành vi khác vi phạm nghiêm trọng pháp luật quốc tế hoặc các điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam ký kết hoặc tham gia","Hành vi chính"
HP_K1_D423,"Phạt tù từ 10 năm đến 20 năm, tù chung thân hoặc tử hình","Hình phạt"
K2_D423,"Khoản 2 Điều 423",Khoản
HV_K2_D423,"Phạm tội trong trường hợp do bị ép buộc hoặc do thi hành mệnh lệnh của cấp trên","Hành vi chính"
HP_K2_D423,"Phạt tù từ 10 năm đến 20 năm","Hình phạt"
D424,"Điều 424. Tội tuyển mộ, huấn luyện hoặc sử dụng lính đánh thuê",Điều
K1_D424,"Khoản duy nhất Điều 424",Khoản
HV_K1_D424,"Người nào tuyển mộ, huấn luyện hoặc sử dụng lính đánh thuê nhằm chống lại một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền","Hành vi chính"
HP_K1_D424,"Phạt tù từ 10 năm đến 20 năm hoặc tù chung thân","Hình phạt"
D425,"Điều 425. Tội làm lính đánh thuê",Điều
K1_D425,"Khoản duy nhất Điều 425",Khoản
HV_K1_D425,"Người nào làm lính đánh thuê nhằm chống một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền","Hành vi chính"
HP_K1_D425,"Phạt tù từ 05 năm đến 15 năm","Hình phạt"
