ID,Name,Label,Content
D1,Nhiệm vụ của Bộ luật Hình sự Bộ luật Hình sự có nhiệm vụ bảo vệ chủ quyền quốc...,Điều,"Nhiệm vụ của Bộ luật Hình sự Bộ luật Hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm. Bộ luật này quy định về tội phạm và hình phạt."
D2,Cơ sở của trách nhiệm hình sự,Điều,Cơ sở của trách nhiệm hình sự
D2_K1,Khoản 1 Điều 2,Khoản,Chỉ người nào phạm một tội đã được Bộ luật Hình sự quy định mới phải chịu trách nhiệm hình sự.
D2_K2,Khoản 2 Điều 2,Khoản,Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.
D3,Nguyên tắc xử lý,Điều,Nguyên tắc xử lý
D3_K1,Khoản 1 Điều 3,Khoản,Đối với người phạm tội:
D3_K1_Da,Điểm a Khoản 1 Điều 3,Điểm,"Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;"
D3_K1_Db,Điểm b Khoản 1 Điều 3,Điểm,"Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;"
D3_K1_Dc,Điểm c Khoản 1 Điều 3,Điểm,"Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội; d)[3] Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối c"
D3_K1_De,Điểm e Khoản 1 Điều 3,Điểm,"Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;"
D3_K1_Dg,Điểm g Khoản 1 Điều 3,Điểm,"Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích."
D3_K1_Dđ,Điểm đ Khoản 1 Điều 3,Điểm,"Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;"
D3_K2,Khoản 2 Điều 3,Khoản,Đối với pháp nhân thương mại phạm tội:
D3_K2_Da,Điểm a Khoản 2 Điều 3,Điểm,"Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;"
D3_K2_Db,Điểm b Khoản 2 Điều 3,Điểm,"Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;"
D3_K2_Dc,Điểm c Khoản 2 Điều 3,Điểm,"Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng; d)[4] Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra."
D4,Trách nhiệm phòng ngừa và đấu tranh chống tội phạm Điều khoản chuyển tiếp,Điều,Trách nhiệm phòng ngừa và đấu tranh chống tội phạm Điều khoản chuyển tiếp
D4_K1,Khoản 1 Điều 4,Khoản,"Cơ quan Công an, Viện kiểm sát nhân dân, Tòa án nhân dân và các cơ quan hữu quan khác có trách nhiệm thực hiện đầy đủ chức năng, nhiệm vụ, quyền hạn của mình, đồng thời hướng dẫn, giúp đỡ các cơ quan khác của Nhà nước, tổ chức, cá nhân phòng ngừa và đấu tranh chống tội phạm, giám sát và giáo dục người phạm tội tại cộng đồng. Kể từ ngày 01 tháng 7 năm 2025, Luật này được áp dụng như sau:"
D4_K1_Da,Điểm a Khoản 1 Điều 4,Điểm,"Các quy định tại Điều 1 của Luật này được áp dụng để khởi tố, điều tra, truy tố, xét xử và thi hành án đối với người thực hiện hành vi phạm tội từ 0 giờ 00 phút ngày 01 tháng 7 năm 2025;"
